#,Name,NameYear,Season,Team,Position,Snaps,Overall,Rush,Cov.,Run,Pen.,# of Pen,QB Sk,QB Ht,QB Hu,Tks,Ass,MT,St,TA,Rec,% Ct,Yds,Avg,YAC,LG,TD,In,PD,NFL Rating
54.0, Ricky Manning, Ricky Manning2008,2008.0,SL,CB,55.0,2.2,0.9,-0.5,1.6,0.2,0-0,1.0,1.0,1.0,3.0,0.0,1.0,3.0,2.0,2.0,100.0,16.0,8.0,4.0,8.0,0.0,0.0,0.0,100.0
54.0, Jason Craft, Jason Craft2008,2008.0,SL,CB,559.0,2.2,1.5,-0.3,-0.6,1.6,36526.0,3.0,2.0,3.0,46.0,2.0,2.0,19.0,54.0,39.0,72.2,472.0,12.1,240.0,39.0,1.0,1.0,5.0,97.1
57.0, Donald Strickland, Donald Strickland2008,2008.0,SF,CB,350.0,2.0,-0.6,-1.1,2.6,1.1,41275.0,0.0,0.0,0.0,33.0,4.0,7.0,18.0,41.0,29.0,70.7,239.0,8.2,102.0,24.0,1.0,0.0,3.0,93.4
57.0, Dante Hughes, Dante Hughes2008,2008.0,IND,CB,123.0,2.0,0.0,1.3,0.2,0.5,0-0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,10.0,6.0,60.0,77.0,12.8,24.0,23.0,0.0,1.0,1.0,44.6
57.0, Keiwan Ratliff, Keiwan Ratliff2008,2008.0,IND,CB,321.0,2.0,-0.2,1.3,0.5,0.4,36526.0,0.0,0.0,0.0,22.0,1.0,5.0,6.0,31.0,22.0,71.0,192.0,8.7,57.0,28.0,1.0,2.0,3.0,70.9
60.0, Maurice Leggett, Maurice Leggett2008,2008.0,KC,CB,277.0,1.9,0.9,-0.1,0.9,0.2,36526.0,0.0,0.0,3.0,30.0,1.0,1.0,14.0,39.0,27.0,69.2,252.0,9.3,124.0,31.0,1.0,1.0,3.0,84.6
60.0, Zackary Bowman, Zackary Bowman2008,2008.0,CHI,CB,19.0,1.9,0.0,1.8,0.0,0.1,0-0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
60.0, Brandon McGowan, Brandon McGowan2008,2008.0,CHI,CB,80.0,1.9,-0.7,2.0,0.2,0.4,0-0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,5.0,4.0,80.0,28.0,7.0,8.0,12.0,0.0,0.0,1.0,90.0
63.0, Leigh Torrence, Leigh Torrence2008,2008.0,WAS,CB,187.0,1.7,-0.4,3.2,-0.9,-0.2,36526.0,0.0,0.0,0.0,6.0,2.0,1.0,2.0,16.0,7.0,43.8,99.0,14.1,14.0,43.0,1.0,0.0,2.0,85.2
63.0, Mike McKenzie, Mike McKenzie2008,2008.0,NO,CB,421.0,1.7,0.0,-1.4,2.3,0.8,36526.0,0.0,0.0,0.0,21.0,1.0,0.0,10.0,27.0,14.0,51.9,188.0,13.4,49.0,33.0,2.0,1.0,0.0,83.6
