#,Name,NameYear,Season,Team,Position,Snaps,Overall,Rush,Cov.,Run,Pen.,# of Pen,QB Sk,QB Ht,QB Hu,Tks,Ass,MT,St,TA,Rec,% Ct,Yds,Avg,YAC,LG,TD,In,PD,NFL Rating
134.0, Steve Gregory, Steve Gregory2010,2010.0,SD,CB,22.0,-0.6,0.0,-0.7,0.0,0.1,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,14.0,14.0,0.0,14.0,1.0,0.0,1.0,158.3
138.0, Byron Westbrook, Byron Westbrook2010,2010.0,WAS,CB,52.0,-0.7,0.1,-1.0,0.0,0.2,0-0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,6.0,5.0,83.3,39.0,7.8,9.0,15.0,1.0,0.0,0.0,133.3
138.0, William James, William James2010,2010.0,SF,CB,108.0,-0.7,-0.4,-0.8,0.0,0.5,0-0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,13.0,6.0,46.2,56.0,9.3,8.0,19.0,1.0,0.0,1.0,84.1
138.0, Bryant McFadden, Bryant McFadden2010,2010.0,PIT,CB,908.0,-0.7,1.3,-4.0,0.9,1.1,36586.0,2.0,0.0,1.0,72.0,5.0,5.0,26.0,109.0,76.0,69.7,816.0,10.7,196.0,67.0,6.0,2.0,6.0,102.1
141.0, Brandon Ghee, Brandon Ghee2010,2010.0,CIN,CB,13.0,-0.8,0.0,-0.8,0.0,0.0,0-0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,50.0,14.0,7.0,0.0,11.0,0.0,0.0,0.0,58.3
141.0, Michael Adams, Michael Adams2010,2010.0,ARZ,CB,607.0,-0.8,0.0,1.4,-2.0,-0.2,41334.0,0.0,0.0,2.0,36.0,6.0,5.0,17.0,64.0,41.0,64.1,489.0,11.9,272.0,70.0,2.0,2.0,2.0,84.7
143.0, Tom Nelson, Tom Nelson2010,2010.0,CIN,CB,63.0,-0.9,-1.0,-0.2,0.0,0.3,0-0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,2.0,100.0,35.0,17.5,10.0,29.0,0.0,0.0,0.0,118.8
143.0, Morgan Trent, Morgan Trent2010,2010.0,CIN,CB,204.0,-0.9,-0.8,2.2,-0.2,-2.1,41334.0,0.0,0.0,0.0,23.0,1.0,0.0,10.0,29.0,19.0,65.5,199.0,10.5,46.0,44.0,0.0,1.0,1.0,70.9
143.0, Ryan Mouton, Ryan Mouton2010,2010.0,TEN,CB,8.0,-0.9,0.0,-0.9,0.0,0.0,0-0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,69.0,69.0,43.0,69.0,1.0,0.0,0.0,158.3
143.0, Tramaine Brock, Tramaine Brock2010,2010.0,SF,CB,33.0,-0.9,0.0,-1.0,0.0,0.1,0-0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,5.0,100.0,72.0,14.4,9.0,31.0,1.0,0.0,0.0,158.3
147.0, Malcolm Jenkins, Malcolm Jenkins2010,2010.0,NO,CB,129.0,-1.0,-0.1,2.3,-1.7,-1.5,36557.0,0.0,0.0,0.0,12.0,2.0,4.0,7.0,12.0,7.0,58.3,65.0,9.3,22.0,13.0,0.0,0.0,3.0,73.3
147.0, Tracy Porter, Tracy Porter2010,2010.0,NO,CB,684.0,-1.0,-0.9,0.6,-0.8,0.1,36617.0,0.0,0.0,0.0,48.0,6.0,5.0,16.0,61.0,40.0,65.6,445.0,11.1,220.0,34.0,1.0,1.0,6.0,85.8
149.0, Anthony Madison, Anthony Madison2010,2010.0,PIT,CB,103.0,-1.1,-0.6,-0.9,0.0,0.4,0-0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,11.0,5.0,45.5,75.0,15.0,33.0,31.0,1.0,1.0,0.0,60.8
149.0, Andre' Goodman, Andre' Goodman2010,2010.0,DEN,CB,372.0,-1.1,-0.3,-0.4,-1.0,0.6,41275.0,0.0,0.0,0.0,17.0,0.0,1.0,4.0,41.0,19.0,46.3,353.0,18.6,161.0,52.0,1.0,0.0,6.0,84.7
151.0, Jordan Babineaux, Jordan Babineaux2010,2010.0,SEA,CB,83.0,-1.2,0.8,0.5,-1.9,-0.6,41275.0,0.0,1.0,3.0,3.0,1.0,2.0,1.0,4.0,2.0,50.0,47.0,23.5,13.0,27.0,0.0,1.0,0.0,53.1
152.0, Eric King, Eric King2010,2010.0,CLV,CB,23.0,-1.3,-0.2,-1.2,0.0,0.1,0-0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,50.0,7.0,7.0,8.0,7.0,0.0,0.0,0.0,58.3
153.0, Jorrick Calvin, Jorrick Calvin2010,2010.0,PHI,CB,8.0,-1.4,0.0,-1.4,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,39.0,39.0,26.0,39.0,0.0,0.0,0.0,118.8
154.0, Robert McClain, Robert McClain2010,2010.0,CAR,CB,131.0,-1.5,0.0,-0.7,-0.4,-0.4,36526.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,14.0,9.0,64.3,150.0,16.7,38.0,46.0,0.0,0.0,0.0,100.3
154.0, Greg Toler, Greg Toler2010,2010.0,ARZ,CB,909.0,-1.5,0.4,0.2,-1.2,-0.9,41395.0,1.0,0.0,0.0,79.0,6.0,9.0,25.0,95.0,55.0,57.9,724.0,13.2,201.0,47.0,3.0,2.0,7.0,83.8
156.0, Brian Williams, Brian Williams2010,2010.0,ATL,CB,397.0,-1.6,2.0,-2.1,-0.7,-0.8,41334.0,1.0,2.0,12.0,21.0,6.0,5.0,8.0,22.0,18.0,81.8,196.0,10.9,71.0,35.0,0.0,0.0,1.0,103.8
156.0, Kevin Dockery, Kevin Dockery2010,2010.0,SL,CB,299.0,-1.6,0.7,-0.4,-1.2,-0.7,36586.0,0.0,0.0,5.0,16.0,3.0,2.0,6.0,38.0,26.0,68.4,343.0,13.2,211.0,65.0,1.0,1.0,3.0,94.5
156.0, Jarrett Bush, Jarrett Bush2010,2010.0,GB,CB,125.0,-1.6,-1.5,-1.3,0.6,0.6,0-0,0.0,0.0,1.0,10.0,0.0,0.0,6.0,6.0,4.0,66.7,59.0,14.8,19.0,25.0,0.0,0.0,1.0,98.6
156.0, Lito Sheppard, Lito Sheppard2010,2010.0,MIN,CB,264.0,-1.6,0.0,-1.9,0.1,0.2,36526.0,0.0,0.0,0.0,17.0,1.0,2.0,6.0,40.0,25.0,62.5,315.0,12.6,106.0,46.0,5.0,0.0,6.0,126.6
160.0, Donald Strickland, Donald Strickland2010,2010.0,SD,CB,294.0,-1.9,2.7,-3.0,-1.7,0.1,36526.0,1.0,0.0,3.0,12.0,3.0,4.0,5.0,27.0,20.0,74.1,216.0,10.8,93.0,41.0,1.0,0.0,1.0,109.5
161.0, Bryan McCann, Bryan McCann2010,2010.0,DAL,CB,132.0,-2.0,-0.3,-1.3,0.1,-0.5,36526.0,0.0,0.0,0.0,12.0,0.0,2.0,5.0,12.0,11.0,91.7,133.0,12.1,30.0,44.0,0.0,1.0,0.0,78.1
162.0, Phillip Buchanon, Phillip Buchanon2010,2010.0,WAS,CB,737.0,-2.2,-0.3,-1.2,-0.9,0.2,36586.0,0.0,0.0,1.0,44.0,4.0,6.0,12.0,77.0,44.0,57.1,521.0,11.8,158.0,50.0,1.0,2.0,14.0,71.4
163.0, C.J.C Wilson, C.J.C Wilson2010,2010.0,CAR,CB,89.0,-2.3,-0.1,-2.7,0.6,-0.1,36526.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,8.0,6.0,75.0,107.0,17.8,21.0,41.0,0.0,0.0,0.0,116.7
164.0, Michael Coe, Michael Coe2010,2010.0,JAX,CB,11.0,-2.5,-0.2,-2.3,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,50.0,61.0,61.0,34.0,61.0,1.0,0.0,0.0,135.4
164.0, Prince Miller, Prince Miller2010,2010.0,DET,CB,55.0,-2.5,-0.2,-0.6,-1.0,-0.7,36526.0,0.0,0.0,0.0,6.0,0.0,1.0,5.0,15.0,9.0,60.0,73.0,8.1,32.0,13.0,0.0,0.0,1.0,72.4
166.0, Carlos Rogers, Carlos Rogers2010,2010.0,WAS,CB,777.0,-2.7,-3.1,-2.5,0.5,2.4,36526.0,0.0,0.0,2.0,46.0,5.0,5.0,16.0,72.0,50.0,69.4,569.0,11.4,260.0,48.0,3.0,2.0,5.0,95.2
167.0, Nate Ness, Nate Ness2010,2010.0,SEA,CB,45.0,-2.8,0.0,-3.1,0.1,0.2,0-0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,6.0,5.0,83.3,152.0,30.4,45.0,69.0,1.0,0.0,0.0,158.3
168.0, Zackary Bowman, Zackary Bowman2010,2010.0,CHI,CB,240.0,-2.9,0.4,-6.6,2.3,1.0,0-0,0.0,1.0,0.0,26.0,0.0,2.0,6.0,33.0,26.0,78.8,327.0,12.6,118.0,46.0,0.0,0.0,0.0,108.0
169.0, Nathan Jones, Nathan Jones2010,2010.0,DEN,CB,224.0,-3.0,0.0,-3.0,-1.1,1.1,0-0,0.0,1.0,1.0,22.0,1.0,1.0,8.0,28.0,23.0,82.1,243.0,10.6,89.0,48.0,1.0,0.0,0.0,114.7
169.0, Al Harris, Al Harris2010,2010.0,MIA,CB,72.0,-3.0,0.0,-1.8,-0.5,-0.7,41275.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,8.0,5.0,62.5,51.0,10.2,28.0,17.0,0.0,0.0,0.0,80.7
169.0, Chris Houston, Chris Houston2010,2010.0,DET,CB,906.0,-3.0,0.2,-1.7,-0.7,-0.8,41395.0,0.0,0.0,1.0,50.0,3.0,6.0,10.0,83.0,51.0,61.4,542.0,10.6,150.0,43.0,3.0,1.0,9.0,87.5
169.0, Fabian Washington, Fabian Washington2010,2010.0,BLT,CB,534.0,-3.0,0.0,-5.5,0.1,2.4,0-0,0.0,0.0,0.0,30.0,1.0,5.0,5.0,51.0,35.0,68.6,535.0,15.3,209.0,43.0,3.0,0.0,5.0,122.6
173.0, Jason Allen, Jason Allen2010,2010.0,HST,CB,309.0,-3.1,0.0,-2.1,-0.4,-0.6,41306.0,0.0,0.0,0.0,22.0,1.0,2.0,7.0,36.0,19.0,52.8,247.0,13.0,45.0,41.0,1.0,3.0,0.0,49.2
174.0, Eric Wright, Eric Wright2010,2010.0,CLV,CB,727.0,-3.3,3.4,-10.1,3.6,-0.2,36617.0,0.0,4.0,3.0,41.0,4.0,8.0,12.0,65.0,43.0,66.2,623.0,14.5,189.0,42.0,6.0,1.0,5.0,121.5
175.0, Vincent Fuller, Vincent Fuller2010,2010.0,TEN,CB,349.0,-3.4,-0.8,-2.9,-1.1,1.4,0-0,0.0,1.0,1.0,26.0,2.0,3.0,7.0,33.0,26.0,78.8,310.0,11.9,165.0,41.0,1.0,1.0,1.0,103.3
175.0, Quincy Butler, Quincy Butler2010,2010.0,SL,CB,121.0,-3.4,0.0,-3.6,-0.3,0.5,0-0,0.0,0.0,0.0,8.0,2.0,2.0,3.0,13.0,6.0,46.2,92.0,15.3,27.0,26.0,0.0,0.0,3.0,70.0
177.0, Kyle Arrington, Kyle Arrington2010,2010.0,NE,CB,852.0,-3.5,-1.0,-5.2,1.8,0.9,41334.0,0.0,1.0,1.0,55.0,2.0,4.0,12.0,72.0,47.0,65.3,719.0,15.3,177.0,41.0,4.0,1.0,5.0,110.8
178.0, Rashean Mathis, Rashean Mathis2010,2010.0,JAX,CB,987.0,-3.6,-0.1,-5.0,1.4,0.1,36647.0,0.0,0.0,1.0,47.0,4.0,5.0,8.0,66.0,39.0,59.1,589.0,15.1,177.0,54.0,5.0,1.0,6.0,107.4
179.0, Brandon McDonald, Brandon McDonald2010,2010.0,DET,CB,158.0,-3.9,-0.2,-4.5,0.2,0.6,0-0,0.0,0.0,0.0,10.0,1.0,5.0,6.0,9.0,7.0,77.8,58.0,8.3,49.0,20.0,0.0,0.0,0.0,93.5
180.0, Rico Murray, Rico Murray2010,2010.0,CIN,CB,93.0,-4.1,-0.3,-3.3,-0.9,0.4,0-0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,18.0,11.0,61.1,193.0,17.5,54.0,54.0,1.0,0.0,2.0,116.2
180.0, Reggie Corner, Reggie Corner2010,2010.0,BUF,CB,481.0,-4.1,-0.2,-0.4,-3.7,0.2,36557.0,1.0,0.0,3.0,18.0,2.0,4.0,4.0,35.0,21.0,60.0,234.0,11.1,103.0,35.0,1.0,0.0,4.0,89.5
182.0, Jerome Murphy, Jerome Murphy2010,2010.0,SL,CB,183.0,-4.2,-0.5,-3.2,-0.5,0.0,36526.0,0.0,0.0,0.0,16.0,3.0,2.0,3.0,24.0,19.0,79.2,196.0,10.3,98.0,24.0,2.0,1.0,2.0,111.1
183.0, Jonathan Wade, Jonathan Wade2010,2010.0,DET,CB,345.0,-4.3,-0.1,-1.9,0.2,-2.5,36617.0,0.0,0.0,1.0,23.0,2.0,2.0,4.0,27.0,18.0,66.7,270.0,15.0,80.0,45.0,4.0,0.0,1.0,138.9
184.0, Alphonso Smith, Alphonso Smith2010,2010.0,DET,CB,600.0,-4.7,0.7,-2.3,0.1,-3.2,41426.0,0.0,1.0,2.0,37.0,1.0,5.0,14.0,64.0,43.0,67.2,639.0,14.9,259.0,79.0,4.0,5.0,3.0,88.0
185.0, David Jones, David Jones2010,2010.0,JAX,CB,290.0,-4.9,-0.1,-5.2,0.0,0.4,36526.0,0.0,0.0,0.0,31.0,0.0,2.0,4.0,35.0,25.0,71.4,385.0,15.4,135.0,45.0,2.0,1.0,2.0,114.6
185.0, Chris Johnson, Chris Johnson2010,2010.0,OAK,CB,388.0,-4.9,0.0,4.3,-2.3,-6.9,41487.0,0.0,0.0,0.0,16.0,0.0,3.0,1.0,40.0,17.0,42.5,261.0,15.4,51.0,46.0,3.0,2.0,5.0,68.9
187.0, Elbert Mack, Elbert Mack2010,2010.0,TB,CB,91.0,-5.2,-0.1,-3.5,-1.0,-0.6,36526.0,0.0,0.0,0.0,8.0,0.0,2.0,2.0,16.0,11.0,68.8,114.0,10.4,50.0,18.0,0.0,0.0,0.0,89.1
187.0, Jonathan Wade, Jonathan Wade2010,2010.0,CIN,CB,167.0,-5.2,0.0,-5.2,0.3,-0.3,41275.0,0.0,0.0,0.0,15.0,0.0,2.0,4.0,19.0,12.0,63.2,181.0,15.1,43.0,52.0,2.0,0.0,2.0,129.5
189.0, E.J. Biggers, E.J. Biggers2010,2010.0,TB,CB,689.0,-5.3,-0.5,-2.5,-3.5,1.2,36557.0,0.0,0.0,0.0,48.0,1.0,6.0,10.0,81.0,46.0,56.8,550.0,12.0,187.0,41.0,3.0,1.0,8.0,84.9
190.0, Myron Lewis, Myron Lewis2010,2010.0,TB,CB,200.0,-5.5,0.0,-4.4,0.1,-1.2,41306.0,0.0,0.0,0.0,9.0,0.0,3.0,2.0,22.0,11.0,50.0,142.0,12.9,59.0,30.0,1.0,0.0,3.0,85.8
191.0, Aaron Ross, Aaron Ross2010,2010.0,NYG,CB,411.0,-5.7,-2.5,-3.7,-0.3,0.8,36526.0,1.0,0.0,3.0,25.0,7.0,5.0,10.0,39.0,28.0,71.8,322.0,11.5,137.0,50.0,1.0,0.0,3.0,104.9
191.0, Jerraud Powers, Jerraud Powers2010,2010.0,IND,CB,596.0,-5.7,0.5,-8.3,-0.6,2.7,0-0,0.0,0.0,2.0,45.0,3.0,10.0,17.0,78.0,51.0,65.4,583.0,11.4,224.0,48.0,2.0,2.0,6.0,85.6
193.0, Shawntae Spencer, Shawntae Spencer2010,2010.0,SF,CB,1048.0,-6.5,-0.1,-2.8,-5.4,1.8,41335.0,0.0,0.0,0.0,43.0,2.0,14.0,13.0,77.0,54.0,70.1,594.0,11.0,185.0,57.0,4.0,3.0,5.0,93.8
194.0, Walter McFadden, Walter McFadden2010,2010.0,OAK,CB,50.0,-6.6,0.0,-4.4,-0.4,-1.8,36557.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,8.0,7.0,87.5,143.0,20.4,68.0,57.0,2.0,0.0,0.0,158.3
195.0, Marcus Trufant, Marcus Trufant2010,2010.0,SEA,CB,949.0,-6.7,-0.1,-8.1,-1.0,2.5,36557.0,0.0,0.0,0.0,69.0,9.0,5.0,12.0,103.0,62.0,60.2,882.0,14.2,243.0,67.0,6.0,1.0,8.0,103.3
196.0, Terence Newman, Terence Newman2010,2010.0,DAL,CB,889.0,-6.8,0.0,-6.8,-1.0,1.0,41334.0,0.0,0.0,0.0,74.0,1.0,4.0,12.0,98.0,64.0,65.3,914.0,14.3,291.0,60.0,5.0,5.0,3.0,91.1
197.0, Chris Cook, Chris Cook2010,2010.0,MIN,CB,234.0,-7.4,-0.1,-8.7,0.4,1.0,0-0,0.0,0.0,0.0,17.0,4.0,3.0,2.0,29.0,21.0,72.4,349.0,16.6,145.0,47.0,1.0,0.0,2.0,124.1
198.0, Stanford Routt, Stanford Routt2010,2010.0,OAK,CB,1009.0,-7.5,0.4,3.8,-5.2,-6.5,41579.0,0.0,0.0,2.0,49.0,3.0,4.0,8.0,99.0,42.0,42.4,629.0,15.0,231.0,56.0,4.0,2.0,10.0,69.0
199.0, Ellis Hobbs, Ellis Hobbs2010,2010.0,PHI,CB,466.0,-8.2,-0.1,-4.2,-1.0,-2.9,36647.0,0.0,0.0,0.0,19.0,0.0,3.0,4.0,36.0,19.0,52.8,265.0,13.9,75.0,42.0,4.0,1.0,3.0,102.2
200.0, Jacob Lacey, Jacob Lacey2010,2010.0,IND,CB,565.0,-9.1,0.0,-7.8,-0.8,-0.5,41334.0,0.0,0.0,0.0,50.0,6.0,8.0,18.0,54.0,41.0,75.9,431.0,10.5,162.0,54.0,4.0,1.0,1.0,115.6
201.0, Chris Owens, Chris Owens2010,2010.0,ATL,CB,275.0,-9.4,-0.3,-8.1,-1.2,0.2,36526.0,0.0,1.0,0.0,22.0,2.0,4.0,3.0,40.0,32.0,80.0,353.0,11.0,158.0,29.0,2.0,1.0,2.0,109.7
202.0, Mike Jenkins, Mike Jenkins2010,2010.0,DAL,CB,928.0,-9.5,0.0,-4.4,-1.2,-3.9,41487.0,0.0,0.0,0.0,54.0,2.0,8.0,10.0,89.0,60.0,67.4,994.0,16.6,333.0,91.0,6.0,1.0,11.0,122.6
203.0, Asher Allen, Asher Allen2010,2010.0,MIN,CB,709.0,-9.7,-0.3,-9.1,-0.5,0.2,36586.0,0.0,0.0,0.0,41.0,9.0,9.0,9.0,69.0,41.0,59.4,555.0,13.5,220.0,65.0,5.0,2.0,3.0,97.2
204.0, Brice McCain, Brice McCain2010,2010.0,HST,CB,407.0,-9.8,0.0,-6.1,-2.4,-1.3,41365.0,0.0,0.0,0.0,18.0,0.0,4.0,4.0,41.0,26.0,63.4,373.0,14.3,134.0,41.0,4.0,0.0,2.0,125.4
205.0, Dimitri Patterson, Dimitri Patterson2010,2010.0,PHI,CB,587.0,-10.1,0.6,-6.9,2.1,-5.9,41489.0,1.0,0.0,2.0,41.0,2.0,5.0,13.0,78.0,49.0,62.8,642.0,13.1,224.0,76.0,6.0,4.0,6.0,93.0
206.0, Drayton Florence, Drayton Florence2010,2010.0,BUF,CB,1094.0,-10.3,0.6,0.5,-8.2,-3.2,41548.0,0.0,0.0,1.0,52.0,1.0,7.0,14.0,77.0,48.0,62.3,559.0,11.6,148.0,29.0,6.0,3.0,11.0,94.0
207.0, Kareem Jackson, Kareem Jackson2010,2010.0,HST,CB,908.0,-11.3,0.0,-8.8,-3.1,0.6,41366.0,0.0,0.0,0.0,61.0,5.0,6.0,13.0,86.0,57.0,66.3,924.0,16.2,366.0,63.0,5.0,2.0,6.0,111.8
207.0, Cortland Finnegan, Cortland Finnegan2010,2010.0,TEN,CB,1209.0,-11.3,0.4,-10.0,-1.0,-0.7,41395.0,1.0,1.0,0.0,81.0,12.0,11.0,23.0,105.0,70.0,66.7,794.0,11.3,310.0,50.0,5.0,2.0,7.0,97.1
209.0, Derek Cox, Derek Cox2010,2010.0,JAX,CB,691.0,-11.5,0.2,-5.2,-0.6,-5.9,41519.0,0.0,0.0,2.0,46.0,1.0,5.0,13.0,74.0,39.0,52.7,546.0,14.0,179.0,47.0,4.0,4.0,6.0,72.2
210.0, Richard Marshall, Richard Marshall2010,2010.0,CAR,CB,1115.0,-11.7,0.6,-6.8,-0.7,-4.8,41550.0,1.0,2.0,3.0,79.0,6.0,15.0,26.0,97.0,73.0,75.3,762.0,10.4,284.0,33.0,4.0,3.0,4.0,98.4
211.0, Dominique Rodgers-Cromartie, Dominique Rodgers-Cromartie2010,2010.0,ARZ,CB,1131.0,-13.4,0.0,-5.9,-5.2,-2.3,41487.0,0.0,0.0,0.0,45.0,2.0,12.0,8.0,90.0,56.0,62.2,814.0,14.5,270.0,38.0,4.0,3.0,10.0,92.5
1.0, Darrelle Revis, Darrelle Revis2011,2011.0,NYJ,CB,1036.0,24.6,-0.1,18.8,4.0,1.9,41334.0,0.0,0.0,0.0,45.0,5.0,4.0,12.0,85.0,35.0,41.2,508.0,14.5,117.0,53.0,1.0,4.0,16.0,45.6
2.0, Cortland Finnegan, Cortland Finnegan2011,2011.0,TEN,CB,1142.0,17.4,0.3,11.8,4.8,0.5,41395.0,1.0,2.0,3.0,62.0,10.0,8.0,26.0,82.0,52.0,63.4,456.0,8.8,206.0,33.0,2.0,1.0,7.0,81.1
3.0, Brent Grimes, Brent Grimes2011,2011.0,ATL,CB,706.0,17.2,-0.2,13.9,1.2,2.3,36526.0,0.0,0.0,0.0,42.0,5.0,6.0,13.0,56.0,25.0,44.6,258.0,10.3,77.0,52.0,2.0,1.0,12.0,62.9
4.0, Lardarius Webb, Lardarius Webb2011,2011.0,BLT,CB,993.0,16.0,-2.7,14.3,3.8,0.6,36617.0,2.0,0.0,2.0,59.0,4.0,7.0,21.0,90.0,52.0,57.8,615.0,11.8,172.0,66.0,0.0,5.0,11.0,55.6
5.0, Brandon Flowers, Brandon Flowers2011,2011.0,KC,CB,996.0,12.0,0.0,10.0,1.5,0.5,41396.0,0.0,0.0,0.0,50.0,5.0,4.0,15.0,86.0,46.0,53.5,667.0,14.5,169.0,67.0,8.0,4.0,8.0,90.6
6.0, Charles Tillman, Charles Tillman2011,2011.0,CHI,CB,1104.0,11.4,0.1,6.1,4.5,0.7,41365.0,1.0,0.0,1.0,92.0,10.0,9.0,27.0,115.0,67.0,58.3,850.0,12.7,320.0,40.0,1.0,3.0,8.0,73.5
7.0, Carlos Rogers, Carlos Rogers2011,2011.0,SF,CB,1024.0,11.3,-0.8,7.8,1.6,2.7,36557.0,0.0,1.0,4.0,42.0,3.0,4.0,17.0,106.0,56.0,52.8,761.0,13.6,306.0,53.0,3.0,6.0,8.0,61.9
8.0, Jason McCourty, Jason McCourty2011,2011.0,TEN,CB,983.0,11.0,-0.3,2.8,6.1,2.4,41306.0,1.0,0.0,0.0,93.0,7.0,6.0,34.0,117.0,71.0,60.7,802.0,11.3,274.0,43.0,1.0,2.0,10.0,76.9
9.0, Antoine Winfield, Antoine Winfield2011,2011.0,MIN,CB,339.0,10.8,-0.4,5.0,4.6,1.6,0-0,1.0,0.0,0.0,36.0,1.0,2.0,23.0,36.0,27.0,75.0,240.0,8.9,163.0,51.0,0.0,1.0,0.0,80.8
9.0, Johnathan Joseph, Johnathan Joseph2011,2011.0,HST,CB,927.0,10.8,0.0,11.3,-2.7,2.2,36557.0,0.0,0.0,0.0,44.0,2.0,7.0,14.0,76.0,44.0,57.9,543.0,12.3,144.0,56.0,3.0,4.0,8.0,71.3
11.0, Asante Samuel, Asante Samuel2011,2011.0,PHI,CB,828.0,10.6,0.0,11.5,-2.7,1.8,36557.0,0.0,0.0,0.0,30.0,4.0,8.0,6.0,61.0,29.0,47.5,296.0,10.2,114.0,45.0,2.0,3.0,6.0,52.4
12.0, William Middleton, William Middleton2011,2011.0,JAX,CB,400.0,10.3,-0.2,3.8,5.9,0.8,41275.0,0.0,0.0,1.0,31.0,4.0,3.0,13.0,30.0,19.0,63.3,164.0,8.6,34.0,17.0,1.0,1.0,3.0,74.9
13.0, Joe Haden, Joe Haden2011,2011.0,CLV,CB,994.0,10.2,-0.1,12.0,2.9,-4.6,41520.0,0.0,0.0,0.0,58.0,10.0,3.0,14.0,85.0,42.0,49.4,657.0,15.6,240.0,79.0,3.0,0.0,17.0,87.2
14.0, Alterraun Verner, Alterraun Verner2011,2011.0,TEN,CB,669.0,10.1,-0.6,5.3,2.4,3.0,0-0,0.0,0.0,1.0,41.0,5.0,4.0,15.0,66.0,37.0,56.1,334.0,9.0,112.0,28.0,3.0,1.0,7.0,78.7
15.0, Tim Jennings, Tim Jennings2011,2011.0,CHI,CB,1028.0,9.5,-0.2,6.4,2.3,1.0,36617.0,0.0,0.0,0.0,73.0,2.0,5.0,24.0,110.0,63.0,57.3,700.0,11.1,245.0,47.0,0.0,2.0,5.0,68.8
16.0, Richard Sherman, Richard Sherman2011,2011.0,SEA,CB,786.0,9.2,0.0,12.2,2.0,-5.0,41518.0,0.0,0.0,0.0,48.0,2.0,4.0,13.0,84.0,39.0,46.4,493.0,12.6,135.0,68.0,3.0,4.0,9.0,57.3
17.0, Chris Gamble, Chris Gamble2011,2011.0,CAR,CB,926.0,8.9,-0.1,7.2,-0.5,2.3,36557.0,0.0,0.0,0.0,42.0,4.0,13.0,14.0,60.0,27.0,45.0,338.0,12.5,79.0,34.0,2.0,3.0,7.0,53.3
18.0, Champ Bailey, Champ Bailey2011,2011.0,DEN,CB,909.0,8.8,-0.8,6.7,0.7,2.2,41306.0,0.0,0.0,1.0,37.0,2.0,8.0,11.0,63.0,34.0,54.0,523.0,15.4,256.0,56.0,2.0,2.0,10.0,79.0
19.0, Patrick Robinson, Patrick Robinson2011,2011.0,NO,CB,756.0,8.0,0.0,5.8,0.8,1.4,41306.0,0.0,0.0,0.0,43.0,3.0,7.0,11.0,76.0,42.0,55.3,523.0,12.5,260.0,54.0,1.0,4.0,10.0,59.3
20.0, Corey Webster, Corey Webster2011,2011.0,NYG,CB,1117.0,6.9,0.4,4.3,-1.8,4.0,36526.0,0.0,0.0,1.0,45.0,5.0,4.0,8.0,108.0,61.0,56.5,783.0,12.8,245.0,50.0,5.0,6.0,11.0,71.6
21.0, Derek Cox, Derek Cox2011,2011.0,JAX,CB,337.0,6.8,0.0,5.6,0.6,0.6,36526.0,0.0,0.0,0.0,18.0,4.0,1.0,4.0,28.0,9.0,32.1,105.0,11.7,33.0,28.0,0.0,0.0,3.0,44.5
22.0, Jimmy Smith, Jimmy Smith2011,2011.0,BLT,CB,254.0,6.6,-0.1,4.0,1.7,1.0,0-0,0.0,0.0,0.0,17.0,0.0,0.0,6.0,33.0,16.0,48.5,217.0,13.6,55.0,49.0,3.0,2.0,3.0,74.9
23.0, Chris Harris Jr., Chris Harris Jr.2011,2011.0,DEN,CB,465.0,6.4,-0.4,6.9,-0.2,0.1,41306.0,0.0,2.0,0.0,59.0,1.0,4.0,23.0,57.0,41.0,71.9,442.0,10.8,193.0,52.0,1.0,1.0,5.0,92.9
24.0, Chris Houston, Chris Houston2011,2011.0,DET,CB,814.0,5.2,-0.5,3.5,-0.6,2.8,36557.0,0.0,0.0,1.0,48.0,6.0,7.0,16.0,86.0,45.0,52.3,586.0,13.0,186.0,58.0,4.0,5.0,5.0,65.4
25.0, Al Harris, Al Harris2011,2011.0,SL,CB,363.0,5.1,-0.2,3.6,0.1,1.6,0-0,0.0,0.0,0.0,15.0,2.0,1.0,3.0,29.0,17.0,58.6,292.0,17.2,133.0,93.0,1.0,0.0,4.0,104.4
