#,Name,NameYear,Year,Team,Position,Snaps,Overall,Rush,Cov.,Run,Pen.,# of Pen,QB Sk,QB Ht,QB Hu,Tks,Ass,MT,St,TA,Rec,% Ct,Yds,Avg,YAC,LG,TD,In,PD,NFL Rating,
56.0,Dane Fletcher,Dane Fletcher2010,2010.0,NE,ILB,30.0,0.1,-0.2,0.3,0.0,0.0,0-0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
60.0,Prescott Burgess,Prescott Burgess2010,2010.0,BLT,ILB,1.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
60.0,Matt McCoy,Matt McCoy2010,2010.0,SEA,ILB,3.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
60.0,Spencer Adkins,Spencer Adkins2010,2010.0,ATL,ILB,1.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
60.0,Cody Glenn,Cody Glenn2010,2010.0,IND,ILB,3.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
60.0,Brian Iwuh,Brian Iwuh2010,2010.0,CHI,ILB,8.0,0.0,-0.1,0.1,0.0,0.0,0-0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,100.0,16.0,8.0,9.0,9.0,0.0,0.0,0.0,100.0,
60.0,Stanley Arnoux,Stanley Arnoux2010,2010.0,NO,ILB,2.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
60.0,Tracy White,Tracy White2010,2010.0,NE,ILB,2.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
60.0,Kawika Mitchell,Kawika Mitchell2010,2010.0,NO,ILB,2.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6,
60.0,Austin Spitler,Austin Spitler2010,2010.0,MIA,ILB,2.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
60.0,Brandon T. Moore,Brandon T. Moore2010,2010.0,SD,ILB,1.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
60.0,Isaiah Ekejiuba,Isaiah Ekejiuba2010,2010.0,DET,ILB,3.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
60.0,Rod Wilson,Rod Wilson2010,2010.0,CHI,ILB,2.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
72.0,Anthony Waters,Anthony Waters2010,2010.0,NO,ILB,1.0,-0.1,-0.1,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
72.0,Titus Brown,Titus Brown2010,2010.0,CLV,ILB,3.0,-0.1,-0.1,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
72.0,Jason Trusnik,Jason Trusnik2010,2010.0,CLV,ILB,1.0,-0.1,-0.1,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
75.0,Blake Costanzo,Blake Costanzo2010,2010.0,CLV,ILB,5.0,-0.2,-0.2,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
75.0,Nick Roach,Nick Roach2010,2010.0,CHI,ILB,9.0,-0.2,-0.3,0.1,0.0,0.0,0-0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,14.0,14.0,3.0,14.0,0.0,0.0,0.0,118.8,
77.0,Dannell Ellerbe,Dannell Ellerbe2010,2010.0,BLT,ILB,24.0,-0.3,-0.1,0.2,-0.4,0.0,0-0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,2.0,1.0,50.0,16.0,16.0,8.0,16.0,0.0,0.0,0.0,77.1,
78.0,Akin Ayodele,Akin Ayodele2010,2010.0,BUF,ILB,475.0,-0.6,-1.0,3.4,-3.7,0.7,0-0,0.0,0.0,0.0,61.0,15.0,5.0,30.0,22.0,15.0,68.2,122.0,8.1,72.0,22.0,0.0,0.0,2.0,82.0,
78.0,Gary Brackett,Gary Brackett2010,2010.0,IND,ILB,776.0,-0.6,0.7,5.9,-7.4,0.2,36526.0,1.0,3.0,0.0,52.0,15.0,4.0,30.0,24.0,17.0,70.8,171.0,10.1,86.0,25.0,1.0,0.0,2.0,104.7,
78.0,Mario Haggan,Mario Haggan2010,2010.0,DEN,ILB,527.0,-0.6,-3.4,-0.9,5.9,-2.2,36586.0,0.0,2.0,4.0,38.0,5.0,2.0,26.0,14.0,9.0,64.3,126.0,14.0,67.0,25.0,1.0,0.0,0.0,117.0,
81.0,Kirk Morrison,Kirk Morrison2010,2010.0,JAX,ILB,751.0,-1.0,0.0,-2.2,1.0,0.2,36526.0,0.0,3.0,4.0,69.0,9.0,1.0,43.0,23.0,19.0,82.6,173.0,9.1,76.0,25.0,3.0,0.0,0.0,137.6,
81.0,Josh Mauga,Josh Mauga2010,2010.0,NYJ,ILB,37.0,-1.0,0.2,-0.8,-0.4,0.0,0-0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,100.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,118.8,
81.0,Jason Williams,Jason Williams2010,2010.0,DAL,ILB,2.0,-1.0,0.0,0.0,-1.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
81.0,Jordan Senn,Jordan Senn2010,2010.0,CAR,ILB,3.0,-1.0,0.0,0.0,-1.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
81.0,Gerald Hayes,Gerald Hayes2010,2010.0,ARZ,ILB,259.0,-1.0,0.1,-0.5,0.9,-1.5,36557.0,0.0,0.0,1.0,23.0,8.0,4.0,11.0,11.0,9.0,81.8,128.0,14.2,81.0,44.0,0.0,0.0,1.0,115.2,
86.0,Stephen Cooper,Stephen Cooper2010,2010.0,SD,ILB,615.0,-1.3,-1.3,7.7,-8.7,1.0,0-0,1.0,0.0,3.0,39.0,4.0,5.0,22.0,38.0,29.0,76.3,295.0,10.2,156.0,33.0,0.0,1.0,5.0,87.1,
87.0,Spencer Havner,Spencer Havner2010,2010.0,DET,ILB,46.0,-1.9,-0.2,0.3,-1.1,-0.9,36526.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,1.0,100.0,8.0,8.0,2.0,8.0,0.0,0.0,0.0,100.0,
87.0,Brian Cushing,Brian Cushing2010,2010.0,HST,ILB,214.0,-1.9,1.3,-1.0,-1.5,-0.7,36526.0,0.0,2.0,1.0,16.0,2.0,1.0,7.0,8.0,6.0,75.0,61.0,10.2,30.0,14.0,0.0,0.0,0.0,96.4,
89.0,D.J. Williams,D.J. Williams2010,2010.0,DEN,ILB,1021.0,-2.0,3.4,3.0,-9.4,1.0,36526.0,6.0,4.0,6.0,92.0,16.0,4.0,56.0,53.0,39.0,73.6,401.0,10.3,294.0,43.0,6.0,0.0,3.0,132.7,
89.0,Chase Blackburn,Chase Blackburn2010,2010.0,NYG,ILB,6.0,-2.0,0.0,-1.5,-0.5,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,118.8,
91.0,Nick Barnett,Nick Barnett2010,2010.0,GB,ILB,257.0,-2.1,-1.8,-3.4,2.7,0.4,0-0,0.0,1.0,4.0,21.0,2.0,2.0,13.0,19.0,15.0,78.9,100.0,6.7,119.0,15.0,0.0,0.0,0.0,88.6,
92.0,Omar Gaither,Omar Gaither2010,2010.0,PHI,ILB,181.0,-2.3,-1.1,-1.1,-0.4,0.3,0-0,0.0,0.0,1.0,24.0,2.0,1.0,10.0,11.0,11.0,100.0,148.0,13.5,84.0,35.0,0.0,0.0,0.0,118.8,
93.0,Bobby Carpenter,Bobby Carpenter2010,2010.0,MIA,ILB,82.0,-2.5,-0.3,-0.8,-1.4,0.0,0-0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,5.0,5.0,100.0,47.0,9.4,21.0,16.0,1.0,0.0,0.0,145.4,
94.0,Ashlee Palmer,Ashlee Palmer2010,2010.0,DET,ILB,99.0,-2.6,-0.2,-0.3,-1.2,-0.9,36526.0,0.0,0.0,0.0,10.0,2.0,2.0,6.0,2.0,2.0,100.0,5.0,2.5,7.0,6.0,0.0,0.0,0.0,79.2,
95.0,Wesley Woodyard,Wesley Woodyard2010,2010.0,DEN,ILB,148.0,-2.9,1.6,-5.2,0.5,0.2,0-0,1.0,1.0,2.0,14.0,3.0,4.0,7.0,12.0,11.0,91.7,133.0,12.1,123.0,31.0,1.0,0.0,0.0,140.6,
95.0,Darryl Sharpton,Darryl Sharpton2010,2010.0,HST,ILB,58.0,-2.9,-0.2,-3.2,0.4,0.1,0-0,0.0,0.0,1.0,4.0,0.0,2.0,2.0,2.0,2.0,100.0,45.0,22.5,45.0,23.0,1.0,0.0,0.0,158.3,
97.0,Andra Davis,Andra Davis2010,2010.0,BUF,ILB,224.0,-3.2,0.0,-0.7,-2.8,0.3,0-0,0.0,0.0,0.0,17.0,11.0,4.0,7.0,7.0,6.0,85.7,104.0,17.3,74.0,34.0,0.0,1.0,0.0,79.2,
98.0,DeAndre Levy,DeAndre Levy2010,2010.0,DET,ILB,749.0,-3.4,0.9,-1.1,-3.3,0.1,36526.0,0.0,3.0,2.0,61.0,7.0,14.0,34.0,41.0,30.0,73.2,267.0,8.9,194.0,20.0,2.0,2.0,1.0,86.1,
99.0,Landon Johnson,Landon Johnson2010,2010.0,DET,ILB,227.0,-3.5,-0.2,0.1,-3.8,0.4,0-0,0.0,0.0,1.0,12.0,1.0,0.0,4.0,9.0,6.0,66.7,36.0,6.0,33.0,13.0,0.0,0.0,0.0,74.3,
100.0,Jon Beason,Jon Beason2010,2010.0,CAR,ILB,561.0,-4.4,-2.6,4.5,-7.1,0.8,0-0,1.0,0.0,2.0,45.0,10.0,3.0,22.0,42.0,24.0,57.1,237.0,9.9,126.0,36.0,1.0,1.0,6.0,71.2,
101.0,Keith Brooking,Keith Brooking2010,2010.0,DAL,ILB,905.0,-4.8,-1.1,1.7,-3.0,-2.4,41366.0,1.0,3.0,6.0,70.0,10.0,5.0,31.0,46.0,30.0,65.2,312.0,10.4,174.0,26.0,2.0,1.0,5.0,90.1,
101.0,Ricky Brown,Ricky Brown2010,2010.0,OAK,ILB,130.0,-4.8,-0.4,-3.0,-1.6,0.2,0-0,0.0,0.0,0.0,7.0,1.0,1.0,4.0,6.0,5.0,83.3,56.0,11.2,55.0,14.0,0.0,0.0,0.0,105.6,
103.0,Keith Ellison,Keith Ellison2010,2010.0,BUF,ILB,72.0,-4.9,-0.3,-0.9,-3.9,0.2,0-0,0.0,0.0,0.0,7.0,0.0,1.0,3.0,4.0,4.0,100.0,49.0,12.3,20.0,25.0,0.0,0.0,0.0,117.7,
104.0,A.J. Hawk,A.J. Hawk2010,2010.0,GB,ILB,931.0,-5.5,-0.4,6.2,-12.3,1.0,36526.0,1.0,2.0,10.0,75.0,21.0,6.0,35.0,48.0,38.0,79.2,338.0,8.9,248.0,27.0,0.0,3.0,2.0,70.0,
105.0,Brandon Chillar,Brandon Chillar2010,2010.0,GB,ILB,119.0,-5.9,0.2,-3.0,-1.2,-1.9,41306.0,1.0,0.0,0.0,11.0,2.0,2.0,4.0,17.0,13.0,76.5,128.0,9.8,51.0,21.0,1.0,0.0,0.0,116.8,
106.0,Jovan Belcher,Jovan Belcher2010,2010.0,KC,ILB,624.0,-6.6,2.7,-3.5,-4.9,-0.9,36586.0,1.0,1.0,10.0,59.0,12.0,7.0,32.0,20.0,16.0,80.0,136.0,8.5,81.0,24.0,2.0,0.0,0.0,128.3,
107.0,Pat Angerer,Pat Angerer2010,2010.0,IND,ILB,262.0,-7.2,-0.6,-4.2,-2.8,0.4,0-0,1.0,0.0,0.0,28.0,3.0,2.0,10.0,19.0,16.0,84.2,158.0,9.9,91.0,22.0,1.0,0.0,1.0,118.9,
108.0,Jamar Chaney,Jamar Chaney2010,2010.0,PHI,ILB,178.0,-7.8,-0.6,-6.1,0.1,-1.2,36526.0,0.0,0.0,1.0,24.0,2.0,2.0,12.0,10.0,6.0,60.0,56.0,9.3,19.0,19.0,0.0,0.0,1.0,75.4,
109.0,Gary Guyton,Gary Guyton2010,2010.0,NE,ILB,634.0,-7.9,-1.2,-2.1,-3.6,-1.0,36557.0,3.0,2.0,3.0,37.0,9.0,5.0,18.0,50.0,38.0,76.0,382.0,10.1,250.0,30.0,1.0,2.0,2.0,87.3,
110.0,Paris Lenon,Paris Lenon2010,2010.0,ARZ,ILB,1120.0,-8.0,1.2,-4.2,-6.6,1.6,0-0,2.0,3.0,7.0,96.0,21.0,10.0,63.0,69.0,50.0,72.5,570.0,11.4,416.0,59.0,5.0,2.0,3.0,109.0,
111.0,Stewart Bradley,Stewart Bradley2010,2010.0,PHI,ILB,698.0,-9.7,-3.3,-2.1,-2.4,-1.9,36586.0,0.0,3.0,4.0,51.0,3.0,11.0,25.0,32.0,23.0,71.9,393.0,17.1,191.0,71.0,1.0,1.0,5.0,110.5,
112.0,Curtis Lofton,Curtis Lofton2010,2010.0,ATL,ILB,955.0,-14.3,-4.3,0.9,-11.4,0.5,36526.0,2.0,1.0,4.0,89.0,17.0,10.0,43.0,45.0,39.0,86.7,366.0,9.4,243.0,34.0,2.0,1.0,3.0,106.1,
113.0,Lofa Tatupu,Lofa Tatupu2010,2010.0,SEA,ILB,1106.0,-16.7,-5.2,-6.7,-5.4,0.6,36526.0,2.0,1.0,6.0,63.0,14.0,14.0,37.0,57.0,42.0,73.7,506.0,12.0,295.0,45.0,1.0,1.0,7.0,99.0,
114.0,Dhani Jones,Dhani Jones2010,2010.0,CIN,ILB,1010.0,-18.6,-4.1,-7.5,-6.6,-0.4,36557.0,1.0,0.0,1.0,100.0,17.0,9.0,55.0,65.0,56.0,86.2,553.0,9.9,296.0,37.0,2.0,0.0,2.0,112.4,
115.0,Rocky McIntosh,Rocky McIntosh2010,2010.0,WAS,ILB,949.0,-19.4,-1.2,-10.6,-7.0,-0.6,41306.0,2.0,3.0,5.0,74.0,18.0,13.0,34.0,59.0,54.0,91.5,508.0,9.4,407.0,41.0,2.0,0.0,2.0,113.8,
116.0,Barrett Ruud,Barrett Ruud2010,2010.0,TB,ILB,1050.0,-21.6,-5.1,-0.7,-17.4,1.6,0-0,2.0,1.0,2.0,82.0,19.0,8.0,41.0,45.0,31.0,68.9,313.0,10.1,205.0,37.0,1.0,1.0,2.0,86.6,
117.0,Jonathan Vilma,Jonathan Vilma2010,2010.0,NO,ILB,977.0,-21.9,-3.5,-4.3,-14.7,0.6,36526.0,4.0,4.0,6.0,67.0,17.0,9.0,46.0,44.0,31.0,70.5,350.0,11.3,218.0,34.0,4.0,1.0,1.0,114.8,
1.0,Patrick Willis,Patrick Willis2009,2009.0,SF,ILB,1116.0,25.6,-0.4,8.8,15.6,1.6,0-0,4.0,5.0,4.0,117.0,22.0,4.0,66.0,88.0,68.0,77.3,601.0,8.8,509.0,37.0,2.0,3.0,3.0,88.3,
2.0,Ray Lewis,Ray Lewis2009,2009.0,BLT,ILB,1015.0,20.7,2.5,7.6,12.0,-1.4,36586.0,3.0,5.0,8.0,97.0,16.0,8.0,51.0,48.0,36.0,75.0,340.0,9.4,209.0,31.0,2.0,0.0,3.0,108.0,
2.0,Nick Barnett,Nick Barnett2009,2009.0,GB,ILB,933.0,20.7,8.7,5.4,8.0,-1.4,36586.0,4.0,1.0,14.0,83.0,9.0,6.0,52.0,54.0,37.0,68.5,275.0,7.4,234.0,32.0,1.0,0.0,3.0,86.6,
4.0,Brandon Siler,Brandon Siler2009,2009.0,SD,ILB,339.0,13.8,1.0,5.6,6.6,0.6,0-0,2.0,1.0,3.0,45.0,6.0,2.0,29.0,18.0,13.0,72.2,86.0,6.6,28.0,17.0,0.0,1.0,1.0,59.0,
5.0,Takeo Spikes,Takeo Spikes2009,2009.0,SF,ILB,608.0,12.0,1.1,7.1,3.4,0.4,36526.0,4.0,1.0,3.0,60.0,7.0,0.0,34.0,23.0,18.0,78.3,121.0,6.7,81.0,43.0,0.0,0.0,2.0,88.6,
6.0,E.J. Henderson,E.J. Henderson2009,2009.0,MIN,ILB,670.0,11.0,2.7,3.5,6.7,-1.9,41335.0,2.0,6.0,6.0,65.0,10.0,5.0,40.0,29.0,22.0,75.9,157.0,7.1,102.0,22.0,0.0,0.0,2.0,87.9,
6.0,Andra Davis,Andra Davis2009,2009.0,DEN,ILB,547.0,11.0,4.1,-0.5,7.6,-0.2,36526.0,3.0,3.0,7.0,65.0,11.0,8.0,47.0,17.0,14.0,82.4,149.0,10.6,99.0,29.0,0.0,0.0,1.0,103.2,
8.0,Derrick O. Johnson,Derrick O. Johnson2009,2009.0,KC,ILB,344.0,10.6,4.4,4.6,1.4,0.2,0-0,2.0,0.0,9.0,25.0,5.0,6.0,14.0,36.0,27.0,75.0,236.0,8.7,180.0,20.0,1.0,3.0,3.0,66.4,
9.0,Paul Posluszny,Paul Posluszny2009,2009.0,BUF,ILB,805.0,9.8,2.5,6.4,0.8,0.1,36526.0,1.0,3.0,5.0,82.0,14.0,6.0,38.0,31.0,20.0,64.5,232.0,11.6,144.0,33.0,0.0,3.0,1.0,47.4,
10.0,Lawrence Timmons,Lawrence Timmons2009,2009.0,PIT,ILB,817.0,8.7,9.2,1.9,1.3,-3.7,41395.0,7.0,4.0,14.0,51.0,12.0,9.0,36.0,38.0,25.0,65.8,270.0,10.8,185.0,61.0,1.0,0.0,3.0,95.3,
11.0,Omar Gaither,Omar Gaither2009,2009.0,PHI,ILB,299.0,8.4,1.9,-2.4,8.4,0.5,0-0,2.0,1.0,5.0,24.0,5.0,3.0,15.0,14.0,9.0,64.3,70.0,7.8,66.0,19.0,0.0,0.0,0.0,76.5,
12.0,David Hawthorne,David Hawthorne2009,2009.0,SEA,ILB,891.0,8.3,-0.5,0.3,8.2,0.3,41275.0,3.0,4.0,3.0,92.0,10.0,10.0,49.0,50.0,40.0,80.0,439.0,11.0,239.0,42.0,1.0,3.0,1.0,84.9,
13.0,Daryl Smith,Daryl Smith2009,2009.0,JAX,ILB,356.0,8.2,1.0,3.8,3.8,-0.4,36526.0,0.0,2.0,5.0,33.0,5.0,3.0,15.0,30.0,26.0,86.7,214.0,8.2,167.0,38.0,1.0,0.0,3.0,107.5,
14.0,Keith Brooking,Keith Brooking2009,2009.0,DAL,ILB,802.0,7.4,0.5,2.2,4.2,0.5,36526.0,4.0,7.0,3.0,81.0,11.0,5.0,49.0,51.0,38.0,74.5,319.0,8.4,218.0,35.0,2.0,0.0,4.0,103.3,
15.0,London Fletcher,London Fletcher2009,2009.0,WAS,ILB,1055.0,5.3,0.7,8.0,-4.0,0.6,36526.0,2.0,1.0,4.0,102.0,25.0,10.0,51.0,62.0,40.0,64.5,345.0,8.6,195.0,27.0,1.0,1.0,5.0,77.7,
16.0,Desmond Bishop,Desmond Bishop2009,2009.0,GB,ILB,58.0,3.6,0.9,2.5,0.2,0.0,0-0,0.0,1.0,1.0,7.0,1.0,0.0,5.0,8.0,6.0,75.0,68.0,11.3,89.0,44.0,0.0,0.0,0.0,100.0,
16.0,David Bowens,David Bowens2009,2009.0,CLV,ILB,582.0,3.6,5.9,-2.2,-1.0,0.9,0-0,5.0,5.0,10.0,27.0,6.0,4.0,23.0,15.0,13.0,86.7,231.0,17.8,178.0,63.0,2.0,1.0,1.0,130.6,
18.0,Kevin Burnett,Kevin Burnett2009,2009.0,SD,ILB,507.0,3.2,5.4,-0.7,-1.4,-0.1,36526.0,3.0,2.0,4.0,42.0,6.0,6.0,28.0,38.0,33.0,86.8,268.0,8.1,184.0,30.0,1.0,0.0,0.0,104.8,
19.0,Bradie James,Bradie James2009,2009.0,DAL,ILB,910.0,3.0,-1.0,3.6,-0.2,0.6,36526.0,2.0,2.0,7.0,81.0,17.0,3.0,46.0,53.0,46.0,86.8,399.0,8.7,271.0,32.0,0.0,0.0,2.0,98.0,
20.0,Brian Urlacher,Brian Urlacher2009,2009.0,CHI,ILB,35.0,2.4,1.3,1.3,-0.3,0.1,0-0,0.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.6,
21.0,Akeem Jordan,Akeem Jordan2009,2009.0,PHI,ILB,40.0,2.3,-0.8,1.9,1.1,0.1,0-0,0.0,0.0,1.0,5.0,1.0,0.0,4.0,4.0,2.0,50.0,5.0,2.5,7.0,5.0,0.0,0.0,0.0,56.3,
21.0,Justin Durant,Justin Durant2009,2009.0,JAX,ILB,759.0,2.3,-0.4,0.9,0.5,1.3,0-0,1.0,1.0,6.0,81.0,10.0,3.0,43.0,32.0,27.0,84.4,269.0,10.0,102.0,26.0,2.0,1.0,1.0,109.5,
23.0,Will Witherspoon,Will Witherspoon2009,2009.0,PHI,ILB,273.0,2.0,-1.0,0.5,2.1,0.4,0-0,1.0,0.0,2.0,25.0,1.0,1.0,14.0,20.0,15.0,75.0,111.0,7.4,82.0,17.0,0.0,1.0,1.0,66.9,
24.0,Curtis Lofton,Curtis Lofton2009,2009.0,ATL,ILB,1010.0,1.8,-1.3,-3.4,8.4,-1.9,41365.0,0.0,3.0,7.0,104.0,19.0,11.0,57.0,46.0,34.0,73.9,330.0,9.7,220.0,56.0,2.0,0.0,0.0,108.1,
24.0,Chase Blackburn,Chase Blackburn2009,2009.0,NYG,ILB,169.0,1.8,-1.1,1.0,2.7,-0.8,36526.0,0.0,1.0,0.0,12.0,7.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
24.0,Lofa Tatupu,Lofa Tatupu2009,2009.0,SEA,ILB,213.0,1.8,1.2,-0.5,1.7,-0.6,36526.0,1.0,2.0,2.0,22.0,5.0,1.0,5.0,16.0,15.0,93.8,143.0,9.5,96.0,18.0,0.0,0.0,1.0,103.9,
27.0,Stephen Tulloch,Stephen Tulloch2009,2009.0,TEN,ILB,858.0,1.7,0.5,-6.0,6.0,1.2,0-0,2.0,3.0,1.0,89.0,12.0,10.0,55.0,66.0,60.0,90.9,445.0,7.4,316.0,38.0,6.0,0.0,1.0,125.1,
28.0,Brian Iwuh,Brian Iwuh2009,2009.0,JAX,ILB,198.0,1.6,-0.9,-1.5,3.8,0.2,0-0,0.0,0.0,1.0,11.0,1.0,4.0,5.0,8.0,6.0,75.0,90.0,15.0,42.0,25.0,0.0,0.0,1.0,111.5,
29.0,Mario Haggan,Mario Haggan2009,2009.0,DEN,ILB,30.0,1.4,-0.9,0.1,2.2,0.0,0-0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30.0,Karlos Dansby,Karlos Dansby2009,2009.0,ARZ,ILB,1024.0,1.3,-4.2,6.4,-0.4,-0.5,41306.0,1.0,5.0,4.0,93.0,11.0,5.0,55.0,55.0,39.0,70.9,293.0,7.5,194.0,21.0,1.0,1.0,2.0,81.9,
31.0,Matt Wilhelm,Matt Wilhelm2009,2009.0,SF,ILB,61.0,1.2,-0.3,0.5,0.9,0.1,0-0,0.0,0.0,0.0,6.0,1.0,1.0,4.0,2.0,1.0,50.0,10.0,10.0,12.0,10.0,0.0,0.0,0.0,64.6,
32.0,Jeremiah Trotter,Jeremiah Trotter2009,2009.0,PHI,ILB,245.0,1.1,-1.3,-1.4,3.5,0.3,0-0,0.0,0.0,0.0,29.0,2.0,3.0,18.0,13.0,11.0,84.6,175.0,15.9,128.0,86.0,1.0,0.0,0.0,144.4,
32.0,Wesley Woodyard,Wesley Woodyard2009,2009.0,DEN,ILB,368.0,1.1,-1.0,2.1,2.9,-2.9,41334.0,0.0,2.0,2.0,28.0,6.0,2.0,17.0,29.0,18.0,62.1,158.0,8.8,107.0,17.0,4.0,1.0,1.0,101.7,
32.0,Jameel McClain,Jameel McClain2009,2009.0,BLT,ILB,18.0,1.1,-0.1,0.6,0.6,0.0,0-0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,100.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,79.2,
35.0,Blake Costanzo,Blake Costanzo2009,2009.0,CLV,ILB,8.0,1.0,1.0,0.0,0.0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,Adam Hayward,Adam Hayward2009,2009.0,TB,ILB,2.0,0.9,-0.1,0.0,1.0,0.0,0-0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,Bryan Kehl,Bryan Kehl2009,2009.0,NYG,ILB,33.0,0.8,1.4,-0.8,0.2,0.0,0-0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,100.0,16.0,8.0,23.0,8.0,1.0,0.0,0.0,139.6,
37.0,Russell Allen,Russell Allen2009,2009.0,JAX,ILB,179.0,0.8,0.1,1.3,0.2,-0.8,36526.0,0.0,0.0,1.0,24.0,2.0,0.0,14.0,8.0,5.0,62.5,41.0,8.2,31.0,16.0,0.0,0.0,0.0,75.5,
39.0,Brandon Chillar,Brandon Chillar2009,2009.0,GB,ILB,399.0,0.6,2.1,0.4,0.9,-2.8,41365.0,2.0,1.0,6.0,28.0,4.0,1.0,21.0,23.0,14.0,60.9,162.0,11.6,92.0,23.0,2.0,0.0,2.0,111.1,
40.0,Andy Studebaker,Andy Studebaker2009,2009.0,KC,ILB,1.0,0.5,0.0,0.0,0.5,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
