#,Name,NameYear,Year,Team,Position,Snaps,Overall,Rush,Cov.,Run,Pen.,# of Pen,QB Sk,QB Ht,QB Hu,Tks,Ass,MT,St,TA,Rec,% Ct,Yds,Avg,YAC,LG,TD,In,PD,NFL Rating,
17.0,Joe Mays,Joe Mays2011,2011.0,DEN,ILB,653.0,4.6,-1.4,-0.1,6.2,-0.1,36526.0,0.0,3.0,7.0,71.0,6.0,13.0,49.0,19.0,12.0,63.2,227.0,18.9,146.0,84.0,0.0,0.0,2.0,104.5,
18.0,Keyaron Fox,Keyaron Fox2011,2011.0,WAS,ILB,51.0,3.6,-0.2,0.3,3.5,0.0,0-0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19.0,D.J. Smith,D.J. Smith2011,2011.0,GB,ILB,267.0,3.5,0.4,-0.4,3.1,0.4,0-0,0.0,0.0,6.0,26.0,8.0,2.0,10.0,21.0,16.0,76.2,150.0,9.4,91.0,39.0,0.0,1.0,0.0,75.5,
20.0,Brandon Spikes,Brandon Spikes2011,2011.0,NE,ILB,364.0,3.3,0.8,-0.5,3.4,-0.4,36526.0,0.0,1.0,4.0,37.0,8.0,4.0,15.0,24.0,18.0,75.0,151.0,8.4,99.0,26.0,0.0,0.0,1.0,90.8,
21.0,Matt McCoy,Matt McCoy2011,2011.0,SEA,ILB,68.0,3.1,-0.1,1.3,1.8,0.1,0-0,0.0,0.0,1.0,8.0,2.0,1.0,7.0,3.0,2.0,66.7,5.0,2.5,4.0,4.0,0.0,0.0,0.0,70.1,
22.0,Adam Hayward,Adam Hayward2011,2011.0,TB,ILB,62.0,2.1,-0.3,0.3,2.1,0.0,0-0,0.0,1.0,0.0,8.0,1.0,0.0,5.0,1.0,1.0,100.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,100.0,
23.0,Jameel McClain,Jameel McClain2011,2011.0,BLT,ILB,261.0,1.9,0.8,-1.0,1.7,0.4,0-0,0.0,4.0,2.0,22.0,6.0,1.0,12.0,17.0,12.0,70.6,136.0,11.3,66.0,37.0,1.0,0.0,1.0,113.8,
24.0,K.J. Wright,K.J. Wright2011,2011.0,SEA,ILB,40.0,1.7,0.0,0.2,1.4,0.1,0-0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
24.0,Tracy White,Tracy White2011,2011.0,NE,ILB,71.0,1.7,0.6,0.2,0.9,0.0,0-0,0.0,0.0,1.0,6.0,4.0,1.0,2.0,7.0,6.0,85.7,57.0,9.5,42.0,34.0,0.0,0.0,0.0,100.6,
26.0,David Hawthorne,David Hawthorne2011,2011.0,SEA,ILB,1012.0,1.4,-1.7,2.9,-1.3,1.5,0-0,3.0,0.0,6.0,96.0,13.0,9.0,48.0,61.0,45.0,73.8,403.0,9.0,250.0,26.0,2.0,3.0,5.0,81.5,
27.0,Josh Mauga,Josh Mauga2011,2011.0,NYJ,ILB,134.0,1.3,0.4,0.5,0.4,0.0,0-0,0.0,0.0,2.0,13.0,4.0,2.0,9.0,9.0,8.0,88.9,49.0,6.1,37.0,16.0,2.0,1.0,0.0,89.4,
27.0,Desmond Bishop,Desmond Bishop2011,2011.0,GB,ILB,853.0,1.3,3.0,-3.1,2.7,-1.3,41334.0,5.0,4.0,9.0,98.0,18.0,7.0,43.0,57.0,47.0,82.5,568.0,12.1,275.0,23.0,2.0,0.0,2.0,119.9,
29.0,Perry Riley,Perry Riley2011,2011.0,WAS,ILB,504.0,1.2,-0.2,-1.8,3.4,-0.2,36526.0,1.0,1.0,3.0,42.0,16.0,7.0,34.0,36.0,29.0,80.6,269.0,9.3,197.0,50.0,1.0,0.0,2.0,107.1,
29.0,A.J. Edds,A.J. Edds2011,2011.0,IND,ILB,58.0,1.2,-0.3,0.6,0.8,0.1,0-0,0.0,0.0,0.0,5.0,2.0,0.0,2.0,1.0,1.0,100.0,9.0,9.0,5.0,9.0,0.0,0.0,0.0,104.2,
31.0,Larry Grant,Larry Grant2011,2011.0,SF,ILB,232.0,0.9,0.8,0.4,0.3,-0.6,36557.0,2.0,1.0,1.0,25.0,4.0,3.0,14.0,19.0,12.0,63.2,106.0,8.8,81.0,20.0,0.0,0.0,3.0,78.0,
31.0,Thomas Williams,Thomas Williams2011,2011.0,CAR,ILB,82.0,0.9,-0.4,2.0,0.2,-0.9,36526.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,5.0,5.0,100.0,46.0,9.2,19.0,14.0,0.0,0.0,1.0,105.0,
31.0,Stewart Bradley,Stewart Bradley2011,2011.0,ARZ,ILB,126.0,0.9,-0.9,1.3,0.4,0.1,0-0,0.0,0.0,1.0,12.0,7.0,3.0,6.0,7.0,5.0,71.4,34.0,6.8,31.0,12.0,1.0,0.0,1.0,121.4,
34.0,Brandon Johnson,Brandon Johnson2011,2011.0,CIN,ILB,83.0,0.8,0.0,0.5,0.1,0.2,0-0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,12.0,10.0,83.3,115.0,11.5,71.0,30.0,0.0,0.0,0.0,106.6,
34.0,DeMeco Ryans,DeMeco Ryans2011,2011.0,HST,ILB,602.0,0.8,-2.5,-0.2,2.3,1.2,0-0,0.0,2.0,4.0,48.0,11.0,8.0,25.0,35.0,17.0,48.6,187.0,11.0,193.0,32.0,1.0,0.0,2.0,74.3,
34.0,Kelvin Sheppard,Kelvin Sheppard2011,2011.0,BUF,ILB,432.0,0.8,0.0,-3.2,4.1,-0.1,41275.0,0.0,1.0,0.0,43.0,11.0,1.0,23.0,19.0,17.0,89.5,178.0,10.5,118.0,44.0,1.0,0.0,1.0,123.2,
37.0,Mister Alexander,Mister Alexander2011,2011.0,HST,ILB,19.0,0.7,-0.1,0.1,0.7,0.0,0-0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,Alex Albright,Alex Albright2011,2011.0,DAL,ILB,5.0,0.7,0.2,0.0,0.5,0.0,0-0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
39.0,Andrew Gachkar,Andrew Gachkar2011,2011.0,SD,ILB,20.0,0.4,0.0,0.4,0.0,0.0,0-0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
40.0,Kirk Morrison,Kirk Morrison2011,2011.0,BUF,ILB,33.0,0.3,0.3,0.9,0.1,-1.0,36526.0,1.0,0.0,0.0,3.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.6,
41.0,Ashlee Palmer,Ashlee Palmer2011,2011.0,DET,ILB,18.0,0.2,-0.1,0.2,0.1,0.0,0-0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,100.0,7.0,7.0,2.0,7.0,0.0,0.0,0.0,95.8,
42.0,Nick Bellore,Nick Bellore2011,2011.0,NYJ,ILB,11.0,0.1,0.0,0.0,0.1,0.0,0-0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
42.0,Cory Greenwood,Cory Greenwood2011,2011.0,KC,ILB,7.0,0.1,0.0,0.0,0.1,0.0,0-0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
42.0,Adrian Moten,Adrian Moten2011,2011.0,IND,ILB,9.0,0.1,0.0,0.0,0.1,0.0,0-0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
45.0,Dom DeCicco,Dom DeCicco2011,2011.0,CHI,ILB,2.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
45.0,Ramon Humber,Ramon Humber2011,2011.0,NO,ILB,1.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
45.0,Nate Irving,Nate Irving2011,2011.0,DEN,ILB,5.0,0.0,0.4,0.1,-0.5,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
45.0,Austin Spitler,Austin Spitler2011,2011.0,MIA,ILB,1.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
45.0,Tavares Gooden,Tavares Gooden2011,2011.0,SF,ILB,13.0,0.0,-0.1,0.0,0.1,0.0,0-0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
