#,Name,NameYear,Year,Team,Position,Snaps,Overall,Rush,Cov.,Run,Pen.,# of Pen,QB Sk,QB Ht,QB Hu,BP,Tks,Ass,MT,St
139.0,Ronald Fields,Ronald Fields2009,2009,DEN,DT,543.0,-8.0,-6.9,0.5,-1.4,-0.2,36586.0,0.0,1.0,5.0,0.0,26.0,9.0,0.0,20.0
140.0,Pat Sims,Pat Sims2009,2009,CIN,DT,570.0,-8.8,-3.5,2.0,-4.7,-2.6,41396.0,2.0,6.0,6.0,0.0,25.0,1.0,0.0,19.0
140.0,LaJuan Ramsey,LaJuan Ramsey2009,2009,SL,DT,360.0,-8.8,-3.8,0.0,-4.8,-0.2,36557.0,1.0,2.0,1.0,0.0,12.0,2.0,0.0,12.0
142.0,Amobi Okoye,Amobi Okoye2009,2009,HST,DT,840.0,-8.9,2.5,2.0,-14.6,1.2,36557.0,2.0,5.0,21.0,3.0,26.0,2.0,4.0,20.0
143.0,Nick Hayden,Nick Hayden2009,2009,CAR,DT,272.0,-9.0,-3.6,0.0,-5.5,0.1,36526.0,1.0,0.0,3.0,0.0,13.0,1.0,1.0,6.0
144.0,Shaun Cody,Shaun Cody2009,2009,HST,DT,399.0,-9.2,-3.6,0.0,-5.0,-0.6,36557.0,0.0,1.0,5.0,1.0,10.0,2.0,0.0,10.0
145.0,Chris Hovan,Chris Hovan2009,2009,TB,DT,776.0,-9.3,-0.6,0.5,-11.8,2.6,36526.0,1.0,4.0,16.0,0.0,22.0,4.0,6.0,17.0
146.0,Trey Lewis,Trey Lewis2009,2009,ATL,DT,200.0,-9.6,-1.0,0.5,-9.9,0.8,0-0,0.0,2.0,2.0,0.0,7.0,2.0,2.0,3.0
147.0,Craig Terrill,Craig Terrill2009,2009,SEA,DT,406.0,-9.8,-4.5,0.0,-6.8,1.5,0-0,1.0,2.0,4.0,1.0,6.0,2.0,0.0,3.0
148.0,Roy Miller,Roy Miller2009,2009,TB,DT,474.0,-9.9,-0.8,0.0,-9.9,0.8,36526.0,2.0,4.0,2.0,0.0,27.0,4.0,0.0,20.0
148.0,Tommie Harris,Tommie Harris2009,2009,CHI,DT,630.0,-9.9,-7.1,3.0,-2.3,-3.5,36647.0,3.0,5.0,10.0,0.0,18.0,2.0,4.0,18.0
150.0,Fili Moala,Fili Moala2009,2009,IND,DT,187.0,-11.0,-1.7,0.0,-10.1,0.8,0-0,0.0,0.0,2.0,0.0,6.0,1.0,1.0,4.0
151.0,Andre Fluellen,Andre Fluellen2009,2009,DET,DT,320.0,-11.6,-6.7,0.5,-5.8,0.4,41275.0,2.0,1.0,2.0,0.0,6.0,0.0,1.0,6.0
152.0,Ron Edwards,Ron Edwards2009,2009,KC,DT,701.0,-12.1,0.9,0.5,-14.2,0.7,36557.0,0.0,3.0,14.0,3.0,27.0,2.0,5.0,21.0
153.0,Gerard Warren,Gerard Warren2009,2009,OAK,DT,766.0,-13.3,2.0,-1.0,-13.3,-1.0,36617.0,2.0,3.0,16.0,0.0,22.0,3.0,3.0,19.0
154.0,Marcus Harrison,Marcus Harrison2009,2009,CHI,DT,597.0,-14.2,-6.9,2.0,-11.6,2.3,0-0,1.0,3.0,5.0,0.0,17.0,5.0,0.0,11.0
155.0,Desmond Bryant,Desmond Bryant2009,2009,OAK,DT,302.0,-14.4,-3.3,0.0,-11.2,0.1,36526.0,0.0,0.0,1.0,0.0,27.0,1.0,2.0,16.0
156.0,Remi Ayodele,Remi Ayodele2009,2009,NO,DT,598.0,-16.7,-10.3,0.0,-5.6,-0.8,36586.0,3.0,0.0,1.0,0.0,23.0,3.0,2.0,16.0
157.0,Tank Johnson,Tank Johnson2009,2009,CIN,DT,526.0,-17.5,-6.4,0.0,-10.1,-1.0,36586.0,1.0,3.0,3.0,1.0,20.0,3.0,3.0,18.0
158.0,Sammie Lee Hill,Sammie Lee Hill2009,2009,DET,DT,562.0,-18.8,-3.6,0.0,-14.5,-0.7,36586.0,0.0,3.0,8.0,0.0,19.0,2.0,1.0,14.0
159.0,Marcus Stroud,Marcus Stroud2009,2009,BUF,DT,822.0,-19.6,2.5,1.5,-24.8,1.2,41306.0,3.0,1.0,10.0,8.0,33.0,10.0,2.0,25.0
160.0,Jovan Haye,Jovan Haye2009,2009,TEN,DT,532.0,-20.5,-9.0,1.0,-13.6,1.1,36526.0,1.0,1.0,5.0,0.0,22.0,5.0,2.0,15.0
161.0,Ryan Sims,Ryan Sims2009,2009,TB,DT,623.0,-21.0,-7.0,1.0,-17.5,2.5,0-0,1.0,2.0,3.0,1.0,22.0,2.0,1.0,17.0
162.0,Antonio Johnson,Antonio Johnson2009,2009,IND,DT,465.0,-21.1,-5.2,1.0,-13.5,-3.4,36647.0,1.0,1.0,4.0,0.0,19.0,5.0,1.0,12.0
1.0,Kevin Williams,Kevin Williams2008,2008,MIN,DT,939.0,42.7,34.0,0.0,11.2,-2.5,41426.0,9.0,16.0,35.0,4.0,38.0,6.0,3.0,37.0
2.0,Albert Haynesworth,Albert Haynesworth2008,2008,TEN,DT,694.0,28.2,17.6,2.0,10.2,-1.6,41365.0,8.0,14.0,17.0,1.0,32.0,7.0,0.0,35.0
3.0,Jamal Williams,Jamal Williams2008,2008,SD,DT,622.0,26.1,0.0,1.0,22.7,2.4,0-0,2.0,1.0,11.0,3.0,45.0,3.0,3.0,35.0
4.0,Kyle D. Williams,Kyle D. Williams2008,2008,BUF,DT,702.0,25.8,4.3,2.5,17.1,1.9,41275.0,2.0,8.0,14.0,0.0,37.0,9.0,4.0,34.0
5.0,Jay Ratliff,Jay Ratliff2008,2008,DAL,DT,694.0,21.0,15.9,-0.5,7.9,-2.3,36647.0,8.0,8.0,23.0,4.0,32.0,5.0,3.0,34.0
6.0,Brandon Mebane,Brandon Mebane2008,2008,SEA,DT,617.0,20.3,17.2,1.5,2.2,-0.6,41334.0,6.0,13.0,17.0,1.0,27.0,6.0,0.0,25.0
6.0,Shaun Rogers,Shaun Rogers2008,2008,CLV,DT,903.0,20.3,19.5,0.5,5.9,-5.6,41518.0,5.0,11.0,20.0,5.0,55.0,7.0,1.0,43.0
8.0,Brodrick Bunkley,Brodrick Bunkley2008,2008,PHI,DT,575.0,17.3,2.1,1.0,12.0,2.2,0-0,2.0,3.0,11.0,2.0,41.0,6.0,1.0,33.0
9.0,Marcus Stroud,Marcus Stroud2008,2008,BUF,DT,780.0,15.8,7.3,1.5,6.9,0.1,36586.0,3.0,3.0,21.0,6.0,30.0,8.0,0.0,26.0
10.0,Vince Wilfork,Vince Wilfork2008,2008,NE,DT,614.0,14.8,0.2,0.0,13.3,1.3,36526.0,2.0,3.0,12.0,0.0,45.0,9.0,5.0,37.0
11.0,Kris Jenkins,Kris Jenkins2008,2008,NYJ,DT,610.0,13.4,5.0,1.0,8.0,-0.6,36586.0,4.0,6.0,10.0,2.0,38.0,7.0,1.0,32.0
