#,Name,NameYear,Year,Team,Position,Snaps,Overall,Rush,Cov.,Run,Pen.,# of Pen,QB Sk,QB Ht,QB Hu,BP,Tks,Ass,MT,St
1.0,Geno Atkins,Geno Atkins2012,2012,CIN,DT,806.0,80.0,52.1,1.0,24.7,2.2,36526.0,16.0,13.0,49.0,2.0,36.0,7.0,4.0,46.0
2.0,Gerald McCoy,Gerald McCoy2012,2012,TB,DT,968.0,31.2,19.2,1.0,10.3,0.7,41334.0,5.0,12.0,36.0,1.0,17.0,5.0,5.0,20.0
3.0,Kyle D. Williams,Kyle D. Williams2012,2012,BUF,DT,813.0,29.3,22.5,-1.0,10.6,-2.8,36678.0,5.0,11.0,29.0,2.0,29.0,6.0,6.0,27.0
4.0,Ndamukong Suh,Ndamukong Suh2012,2012,DET,DT,910.0,23.1,29.6,0.0,-6.0,-0.5,41365.0,9.0,20.0,29.0,1.0,24.0,4.0,1.0,21.0
5.0,Nick Fairley,Nick Fairley2012,2012,DET,DT,511.0,19.2,17.3,1.5,9.4,-9.0,41579.0,5.0,8.0,21.0,1.0,22.0,2.0,3.0,23.0
6.0,Desmond Bryant,Desmond Bryant2012,2012,OAK,DT,645.0,16.5,16.8,0.0,1.1,-1.4,36617.0,4.0,11.0,20.0,0.0,19.0,10.0,2.0,21.0
7.0,Henry Melton,Henry Melton2012,2012,CHI,DT,616.0,15.8,15.8,0.0,-1.5,1.5,36526.0,8.0,5.0,24.0,0.0,32.0,7.0,1.0,29.0
7.0,Jurrell Casey,Jurrell Casey2012,2012,TEN,DT,789.0,15.8,-4.0,0.5,18.1,1.2,41306.0,3.0,3.0,7.0,0.0,44.0,4.0,1.0,33.0
9.0,Mike Martin,Mike Martin2012,2012,TEN,DT,435.0,12.2,12.1,0.0,1.9,-1.8,36617.0,3.0,8.0,15.0,0.0,27.0,5.0,2.0,22.0
10.0,Kevin Williams,Kevin Williams2012,2012,MIN,DT,835.0,12.0,8.1,1.0,2.6,0.3,41334.0,2.0,9.0,21.0,7.0,24.0,5.0,12.0,15.0
11.0,Marcell Dareus,Marcell Dareus2012,2012,BUF,DT,809.0,10.0,15.7,1.0,-8.8,2.1,36526.0,7.0,3.0,22.0,6.0,30.0,7.0,1.0,26.0
12.0,Fred Evans,Fred Evans2012,2012,MIN,DT,342.0,9.9,0.1,1.0,8.4,0.4,36526.0,2.0,2.0,4.0,2.0,16.0,5.0,1.0,15.0
12.0,Vince Wilfork,Vince Wilfork2012,2012,NE,DT,910.0,9.9,2.3,3.5,7.6,-3.5,41456.0,3.0,3.0,21.0,4.0,31.0,9.0,4.0,33.0
14.0,Richard Seymour,Richard Seymour2012,2012,OAK,DT,361.0,9.5,2.1,0.0,8.5,-1.1,36586.0,3.0,2.0,7.0,1.0,12.0,1.0,2.0,12.0
15.0,C.J. Mosley,C.J. Mosley2012,2012,JAX,DT,624.0,9.2,-1.3,1.0,7.1,2.4,0-0,3.0,5.0,4.0,0.0,30.0,12.0,2.0,22.0
16.0,Alex Carrington,Alex Carrington2012,2012,BUF,DT,352.0,8.7,9.6,-0.5,-2.0,1.6,0-0,2.0,1.0,15.0,3.0,13.0,4.0,1.0,14.0
17.0,Vance Walker,Vance Walker2012,2012,ATL,DT,539.0,7.6,1.5,1.0,2.9,2.2,0-0,3.0,1.0,15.0,1.0,22.0,6.0,0.0,20.0
18.0,Fletcher Cox,Fletcher Cox2012,2012,PHI,DT,526.0,7.3,3.1,3.0,0.2,1.0,36526.0,4.0,6.0,14.0,1.0,24.0,6.0,1.0,21.0
19.0,Steve McLendon,Steve McLendon2012,2012,PIT,DT,139.0,7.0,3.7,0.0,2.9,0.4,0-0,3.0,2.0,2.0,0.0,5.0,0.0,0.0,8.0
20.0,Chris Canty,Chris Canty2012,2012,NYG,DT,300.0,6.6,5.1,-0.5,0.8,1.2,0-0,3.0,5.0,4.0,1.0,18.0,6.0,1.0,16.0
20.0,Dan Williams,Dan Williams2012,2012,ARZ,DT,428.0,6.6,-2.8,1.0,8.9,-0.5,41306.0,0.0,2.0,4.0,1.0,30.0,5.0,0.0,23.0
22.0,Linval Joseph,Linval Joseph2012,2012,NYG,DT,707.0,6.3,1.2,0.5,4.0,0.6,41306.0,4.0,6.0,16.0,0.0,36.0,15.0,2.0,28.0
23.0,Justin Bannan,Justin Bannan2012,2012,DEN,DT,542.0,6.2,-5.2,1.5,9.7,0.2,36557.0,0.0,0.0,3.0,4.0,32.0,4.0,2.0,24.0
24.0,Josh Brent,Josh Brent2012,2012,DAL,DT,320.0,6.0,1.8,0.0,4.8,-0.6,36557.0,2.0,3.0,4.0,0.0,15.0,8.0,0.0,13.0
25.0,Sammie Lee Hill,Sammie Lee Hill2012,2012,DET,DT,419.0,5.6,7.9,0.0,-2.0,-0.3,41306.0,0.0,2.0,17.0,3.0,12.0,2.0,1.0,9.0
26.0,Aubrayo Franklin,Aubrayo Franklin2012,2012,SD,DT,285.0,5.4,-2.0,-0.5,6.8,1.1,0-0,0.0,0.0,5.0,1.0,18.0,1.0,3.0,16.0
27.0,Brandon Mebane,Brandon Mebane2012,2012,SEA,DT,637.0,5.2,-1.3,-0.5,10.4,-3.4,36678.0,3.0,3.0,9.0,3.0,35.0,7.0,5.0,32.0
28.0,Akiem Hicks,Akiem Hicks2012,2012,NO,DT,383.0,5.1,1.3,1.0,1.4,1.4,0-0,0.0,2.0,8.0,2.0,17.0,4.0,1.0,13.0
28.0,Brodrick Bunkley,Brodrick Bunkley2012,2012,NO,DT,369.0,5.1,-2.2,-0.5,7.3,0.5,36526.0,3.0,1.0,3.0,1.0,17.0,5.0,3.0,16.0
28.0,Jason D. Jones,Jason D. Jones2012,2012,SEA,DT,332.0,5.1,7.7,0.5,-2.5,-0.6,36557.0,4.0,4.0,10.0,3.0,6.0,1.0,2.0,8.0
31.0,Nate Collins,Nate Collins2012,2012,CHI,DT,247.0,4.9,2.9,0.0,1.1,0.9,0-0,0.0,1.0,9.0,1.0,9.0,2.0,0.0,7.0
32.0,Chris I. Baker,Chris I. Baker2012,2012,WAS,DT,206.0,4.4,0.9,0.0,2.6,0.9,0-0,0.0,1.0,5.0,1.0,12.0,0.0,0.0,10.0
33.0,Karl Klug,Karl Klug2012,2012,TEN,DT,253.0,4.3,5.7,0.0,-1.4,0.0,36526.0,4.0,2.0,11.0,0.0,2.0,4.0,3.0,5.0
34.0,Terrance Knighton,Terrance Knighton2012,2012,JAX,DT,666.0,4.2,2.2,2.0,-1.7,1.7,36526.0,2.0,7.0,10.0,1.0,23.0,7.0,1.0,23.0
35.0,Michael Brockers,Michael Brockers2012,2012,SL,DT,615.0,4.1,0.0,-0.5,4.2,0.4,41306.0,5.0,4.0,9.0,1.0,21.0,4.0,2.0,21.0
35.0,Ahtyba Rubin,Ahtyba Rubin2012,2012,CLV,DT,691.0,4.1,-4.4,-1.5,8.5,1.5,36526.0,2.0,4.0,12.0,1.0,28.0,8.0,3.0,23.0
37.0,Kevin Vickerson,Kevin Vickerson2012,2012,DEN,DT,501.0,4.0,-0.8,1.5,5.4,-2.1,36617.0,2.0,4.0,8.0,1.0,27.0,3.0,2.0,24.0
37.0,Jonathan Babineaux,Jonathan Babineaux2012,2012,ATL,DT,854.0,4.0,3.0,1.0,-3.3,3.3,0-0,5.0,3.0,18.0,3.0,27.0,6.0,6.0,26.0
39.0,Ryan Pickett,Ryan Pickett2012,2012,GB,DT,405.0,3.8,-1.3,0.0,3.7,1.4,0-0,0.0,1.0,5.0,1.0,25.0,8.0,0.0,17.0
39.0,Kyle Love,Kyle Love2012,2012,NE,DT,556.0,3.8,-3.7,0.5,4.8,2.2,0-0,2.0,1.0,14.0,0.0,26.0,2.0,2.0,20.0
41.0,Corvey Irvin,Corvey Irvin2012,2012,TB,DT,85.0,3.7,1.5,0.0,2.1,0.1,0-0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,2.0
42.0,Tom Johnson,Tom Johnson2012,2012,NO,DT,431.0,3.6,5.5,-0.5,-2.1,0.7,36526.0,2.0,4.0,11.0,1.0,17.0,6.0,4.0,16.0
43.0,Randy Starks,Randy Starks2012,2012,MIA,DT,826.0,3.5,7.8,-0.5,-6.1,2.3,36526.0,4.0,11.0,21.0,2.0,16.0,4.0,6.0,16.0
44.0,Israel Idonije,Israel Idonije2012,2012,CHI,DT,212.0,3.4,2.0,0.5,0.1,0.8,0-0,2.0,2.0,6.0,0.0,11.0,1.0,0.0,11.0
45.0,Barry Cofield,Barry Cofield2012,2012,WAS,DT,745.0,3.0,13.1,0.0,-12.0,1.9,36526.0,3.0,15.0,14.0,4.0,17.0,7.0,1.0,13.0
46.0,David Carter,David Carter2012,2012,ARZ,DT,79.0,2.8,1.2,0.0,1.4,0.2,0-0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0
47.0,Phil Taylor,Phil Taylor2012,2012,CLV,DT,273.0,2.7,0.0,0.0,2.7,0.0,36526.0,1.0,1.0,6.0,0.0,15.0,1.0,3.0,14.0
47.0,Gary Gibson,Gary Gibson2012,2012,TB,DT,287.0,2.7,-0.7,0.5,4.9,-2.0,41334.0,0.0,1.0,5.0,0.0,13.0,3.0,2.0,12.0
49.0,Spencer Johnson,Spencer Johnson2012,2012,BUF,DT,269.0,2.6,5.4,0.5,-3.6,0.3,36526.0,2.0,1.0,7.0,2.0,10.0,3.0,1.0,10.0
50.0,Cullen Jenkins,Cullen Jenkins2012,2012,PHI,DT,642.0,2.4,9.7,2.0,-9.8,0.5,41306.0,4.0,1.0,25.0,1.0,21.0,3.0,6.0,18.0
51.0,Jay Ratliff,Jay Ratliff2012,2012,DAL,DT,269.0,2.3,5.8,1.0,-3.6,-0.9,36557.0,0.0,6.0,8.0,0.0,14.0,1.0,1.0,10.0
52.0,Antonio Dixon,Antonio Dixon2012,2012,PHI,DT,21.0,2.1,-0.3,0.0,2.3,0.1,0-0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
53.0,Clinton McDonald,Clinton McDonald2012,2012,SEA,DT,298.0,1.8,0.8,0.0,1.2,-0.2,41307.0,0.0,4.0,8.0,0.0,14.0,3.0,0.0,8.0
53.0,Earl Mitchell,Earl Mitchell2012,2012,HST,DT,407.0,1.8,-2.2,0.0,2.4,1.6,0-0,0.0,0.0,7.0,2.0,21.0,5.0,3.0,15.0
55.0,Mike Devito,Mike Devito2012,2012,NYJ,DT,81.0,1.7,-1.0,0.5,1.9,0.3,0-0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,4.0
55.0,Stephen Paea,Stephen Paea2012,2012,CHI,DT,602.0,1.7,2.8,0.5,-4.1,2.5,0-0,4.0,2.0,17.0,2.0,15.0,6.0,3.0,14.0
55.0,Paul Soliai,Paul Soliai2012,2012,MIA,DT,627.0,1.7,-1.0,1.5,-1.0,2.2,0-0,3.0,1.0,8.0,2.0,24.0,4.0,2.0,26.0
58.0,Brandon Thompson,Brandon Thompson2012,2012,CIN,DT,23.0,1.2,0.5,0.0,0.7,0.0,0-0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
59.0,Sione Pouha,Sione Pouha2012,2012,NYJ,DT,306.0,1.1,-3.2,0.0,3.0,1.3,0-0,0.0,0.0,1.0,1.0,23.0,4.0,0.0,16.0
60.0,D'Anthony Smith,D'Anthony Smith2012,2012,JAX,DT,101.0,1.0,-2.0,0.0,2.7,0.3,0-0,0.0,1.0,0.0,0.0,9.0,0.0,1.0,6.0
61.0,Sealver Siliga,Sealver Siliga2012,2012,DEN,DT,4.0,0.9,-0.1,0.0,1.0,0.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
61.0,Christian Ballard,Christian Ballard2012,2012,MIN,DT,388.0,0.9,2.2,0.0,-1.0,-0.3,36557.0,1.0,5.0,12.0,0.0,11.0,3.0,4.0,10.0
63.0,Jeris Pendleton,Jeris Pendleton2012,2012,JAX,DT,33.0,0.7,-0.4,0.0,1.1,0.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
63.0,Andre Fluellen,Andre Fluellen2012,2012,DET,DT,94.0,0.7,-0.3,0.5,0.1,0.4,0-0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,3.0
63.0,Damon Harrison,Damon Harrison2012,2012,NYJ,DT,12.0,0.7,-0.1,0.0,0.8,0.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
66.0,Devon Still,Devon Still2012,2012,CIN,DT,157.0,0.6,-0.8,0.0,0.6,0.8,0-0,1.0,1.0,3.0,0.0,6.0,2.0,1.0,4.0
66.0,Pep Levingston,Pep Levingston2012,2012,TB,DT,36.0,0.6,-0.1,0.0,0.6,0.1,0-0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
68.0,Antonio Garay,Antonio Garay2012,2012,SD,DT,90.0,0.5,2.2,0.0,-1.2,-0.5,36526.0,0.0,2.0,4.0,0.0,3.0,0.0,1.0,2.0
69.0,Ricky Lumpkin,Ricky Lumpkin2012,2012,ARZ,DT,8.0,0.3,-0.1,0.0,0.4,0.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
70.0,Terrell McClain,Terrell McClain2012,2012,HST,DT,10.0,0.2,-0.3,0.0,0.5,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.0,Jimmy Saddler-McQueen,Jimmy Saddler-McQueen2012,2012,DET,DT,1.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.0,Jordan Miller,Jordan Miller2012,2012,GB,DT,15.0,0.0,-0.1,0.0,0.0,0.1,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71.0,Bryan Hall,Bryan Hall2012,2012,BLT,DT,44.0,0.0,0.0,0.0,-0.2,0.2,0-0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
71.0,Jeff Byers (Def.),Jeff Byers (Def.)2012,2012,CAR,DT,2.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.0,Corey Williams,Corey Williams2012,2012,DET,DT,226.0,0.0,0.1,0.0,2.0,-2.1,41334.0,2.0,2.0,1.0,0.0,6.0,1.0,0.0,6.0
76.0,Alan Branch,Alan Branch2012,2012,SEA,DT,575.0,-0.1,1.6,0.5,-3.5,1.3,36526.0,1.0,4.0,13.0,1.0,19.0,4.0,4.0,11.0
76.0,Ian Williams,Ian Williams2012,2012,SF,DT,3.0,-0.1,-0.1,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.0,Andre Fluellen,Andre Fluellen2012,2012,MIA,DT,14.0,-0.1,-0.6,0.0,0.5,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.0,Ty Warren,Ty Warren2012,2012,DEN,DT,5.0,-0.1,0.0,0.0,-0.1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.0,Ryan Baker,Ryan Baker2012,2012,MIA,DT,3.0,-0.1,-0.1,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.0,D'Aundre Reed,D'Aundre Reed2012,2012,MIN,DT,4.0,-0.2,-0.2,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.0,Jay Ross,Jay Ross2012,2012,BUF,DT,9.0,-0.3,-0.2,0.0,-0.1,0.0,0-0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
82.0,Ogemdi Nwagbuo,Ogemdi Nwagbuo2012,2012,DET,DT,14.0,-0.3,-0.3,0.0,-0.1,0.1,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.0,Antonio Dixon,Antonio Dixon2012,2012,IND,DT,15.0,-0.5,-0.3,0.0,-0.2,0.0,0-0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
84.0,Billy Winn,Billy Winn2012,2012,CLV,DT,721.0,-0.5,-4.8,0.0,5.0,-0.7,36586.0,1.0,6.0,12.0,1.0,23.0,5.0,2.0,19.0
84.0,Terrell McClain,Terrell McClain2012,2012,NE,DT,11.0,-0.5,-0.4,0.0,-0.1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.0,Kellen Heard,Kellen Heard2012,2012,SL,DT,126.0,-0.6,-2.0,0.0,2.8,-1.4,36557.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,4.0
87.0,Travian Robertson,Travian Robertson2012,2012,ATL,DT,47.0,-0.6,0.1,0.0,-0.9,0.2,0-0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0
87.0,Marvin Austin,Marvin Austin2012,2012,NYG,DT,103.0,-0.6,-1.0,0.0,0.0,0.4,0-0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,3.0
90.0,Loni Fangupo,Loni Fangupo2012,2012,SEA,DT,7.0,-0.7,-0.1,0.0,-0.6,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.0,Marcus Forston,Marcus Forston2012,2012,NE,DT,8.0,-0.7,-0.1,0.0,-0.6,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92.0,Rocky Bernard,Rocky Bernard2012,2012,NYG,DT,396.0,-0.9,-1.6,0.5,-1.4,1.6,0-0,1.0,1.0,6.0,0.0,19.0,8.0,0.0,15.0
92.0,Jaye Howard,Jaye Howard2012,2012,SEA,DT,22.0,-0.9,-1.0,0.0,0.0,0.1,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92.0,Mike Patterson,Mike Patterson2012,2012,PHI,DT,136.0,-0.9,1.2,0.0,-1.7,-0.4,36526.0,1.0,1.0,5.0,0.0,2.0,1.0,0.0,3.0
95.0,Matt Conrath,Matt Conrath2012,2012,SL,DT,5.0,-1.1,-0.1,0.0,-1.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96.0,Ricky Jean-Francois,Ricky Jean-Francois2012,2012,SF,DT,190.0,-1.2,-1.6,0.0,0.7,-0.3,36526.0,1.0,0.0,1.0,0.0,11.0,1.0,0.0,10.0
96.0,DaJohn Harris,DaJohn Harris2012,2012,TEN,DT,81.0,-1.2,-1.1,0.0,-0.4,0.3,0-0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
98.0,Clifton Geathers,Clifton Geathers2012,2012,IND,DT,11.0,-1.3,-0.1,0.0,-1.2,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.0,Amobi Okoye,Amobi Okoye2012,2012,CHI,DT,234.0,-1.6,-3.5,0.0,1.5,0.4,41275.0,1.0,1.0,2.0,0.0,8.0,2.0,0.0,7.0
99.0,Pat Sims,Pat Sims2012,2012,CIN,DT,185.0,-1.6,-1.7,0.0,0.3,-0.2,36526.0,0.0,0.0,2.0,0.0,13.0,2.0,2.0,7.0
99.0,Malik Jackson,Malik Jackson2012,2012,DEN,DT,118.0,-1.6,-0.4,0.0,-1.6,0.4,0-0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0
102.0,Greg Scruggs,Greg Scruggs2012,2012,SEA,DT,209.0,-1.7,-1.2,0.0,-1.1,0.6,0-0,2.0,4.0,5.0,1.0,3.0,1.0,2.0,3.0
103.0,Martin Tevaseu,Martin Tevaseu2012,2012,IND,DT,224.0,-2.0,-3.8,0.0,0.8,1.0,0-0,0.0,0.0,1.0,0.0,12.0,1.0,0.0,6.0
104.0,Rob Callaway,Rob Callaway2012,2012,DAL,DT,18.0,-2.2,-0.5,0.0,-0.7,-1.0,36526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104.0,Cam Thomas,Cam Thomas2012,2012,SD,DT,359.0,-2.2,2.2,-1.0,-4.7,1.3,0-0,0.0,3.0,13.0,0.0,16.0,4.0,3.0,9.0
106.0,Kenrick Ellis,Kenrick Ellis2012,2012,NYJ,DT,239.0,-2.3,-1.8,0.0,-0.6,0.1,36526.0,0.0,0.0,2.0,0.0,14.0,4.0,1.0,12.0
107.0,B.J. Raji,B.J. Raji2012,2012,GB,DT,123.0,-2.4,-0.5,0.0,-2.4,0.5,0-0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0
107.0,Matt Toeaina,Matt Toeaina2012,2012,CHI,DT,80.0,-2.4,-1.1,0.0,-1.1,-0.2,36526.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,3.0
109.0,Ishmaa'ily Kitchen,Ishmaa'ily Kitchen2012,2012,CLV,DT,212.0,-2.5,-1.4,0.5,-2.5,0.9,0-0,0.0,2.0,3.0,0.0,11.0,2.0,2.0,7.0
110.0,Ron Brace,Ron Brace2012,2012,NE,DT,92.0,-2.6,-0.6,0.0,-2.3,0.3,0-0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,3.0
110.0,Frank Kearse,Frank Kearse2012,2012,CAR,DT,163.0,-2.6,-0.7,0.0,-2.6,0.7,0-0,1.0,0.0,3.0,0.0,6.0,0.0,2.0,6.0
112.0,Jerrell Powe,Jerrell Powe2012,2012,KC,DT,118.0,-2.7,-1.4,0.0,-0.8,-0.5,36526.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,5.0
113.0,Mitch Unrein,Mitch Unrein2012,2012,DEN,DT,394.0,-2.9,-4.3,0.5,-0.9,1.8,36526.0,0.0,3.0,8.0,0.0,12.0,5.0,0.0,11.0
113.0,Jermelle Cudjo,Jermelle Cudjo2012,2012,SL,DT,351.0,-2.9,-4.2,0.0,0.8,0.5,36526.0,1.0,0.0,3.0,0.0,14.0,2.0,2.0,12.0
115.0,Christo Bilukidi,Christo Bilukidi2012,2012,OAK,DT,249.0,-3.2,-1.2,0.0,-0.9,-1.1,41306.0,0.0,1.0,2.0,1.0,8.0,1.0,1.0,7.0
115.0,Cedric Thornton,Cedric Thornton2012,2012,PHI,DT,406.0,-3.2,0.7,0.0,-1.5,-2.4,41395.0,1.0,1.0,8.0,0.0,19.0,7.0,2.0,15.0
117.0,Kheeston Randall,Kheeston Randall2012,2012,MIA,DT,148.0,-3.3,-1.6,0.0,-2.3,0.6,0-0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,2.0
117.0,Kellen Heard,Kellen Heard2012,2012,IND,DT,42.0,-3.3,0.9,0.0,-3.4,-0.8,36526.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
119.0,Anthony Toribio,Anthony Toribio2012,2012,KC,DT,82.0,-3.4,-0.8,0.0,-2.9,0.3,0-0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0
119.0,Nick Eason,Nick Eason2012,2012,ARZ,DT,82.0,-3.4,0.3,0.0,-2.8,-0.9,36526.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0
119.0,Derek Landri,Derek Landri2012,2012,PHI,DT,496.0,-3.4,4.4,0.0,-9.7,1.9,0-0,0.0,5.0,9.0,2.0,16.0,7.0,4.0,10.0
122.0,Sedrick Ellis,Sedrick Ellis2012,2012,NO,DT,719.0,-3.5,-2.0,0.0,-3.3,1.8,36526.0,0.0,4.0,20.0,0.0,21.0,10.0,3.0,15.0
122.0,Nate Chandler,Nate Chandler2012,2012,CAR,DT,135.0,-3.5,0.4,0.0,-4.4,0.5,0-0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0
124.0,Shaun Cody,Shaun Cody2012,2012,HST,DT,261.0,-4.0,-2.2,0.0,-2.1,0.3,36526.0,0.0,0.0,0.0,2.0,12.0,2.0,1.0,10.0
125.0,Sean Lissemore,Sean Lissemore2012,2012,DAL,DT,162.0,-4.1,-0.7,0.0,-4.0,0.6,0-0,1.0,0.0,3.0,0.0,5.0,4.0,0.0,5.0
125.0,Markus Kuhn,Markus Kuhn2012,2012,NYG,DT,173.0,-4.1,0.5,0.0,-5.4,0.8,0-0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,2.0
127.0,Peria Jerry,Peria Jerry2012,2012,ATL,DT,505.0,-4.6,-6.0,0.0,1.3,0.1,41306.0,0.0,4.0,7.0,0.0,15.0,4.0,1.0,10.0
128.0,Domata Peko,Domata Peko2012,2012,CIN,DT,657.0,-4.8,0.9,1.5,-8.8,1.6,36526.0,3.0,3.0,9.0,2.0,34.0,12.0,3.0,28.0
128.0,Terrence Cody,Terrence Cody2012,2012,BLT,DT,367.0,-4.8,-2.6,0.0,-2.7,0.5,36526.0,0.0,1.0,3.0,1.0,17.0,1.0,0.0,15.0
130.0,Roy Miller,Roy Miller2012,2012,TB,DT,503.0,-5.0,-5.8,0.0,0.0,0.8,36557.0,0.0,0.0,5.0,1.0,16.0,9.0,0.0,10.0
131.0,Brandon Deaderick,Brandon Deaderick2012,2012,NE,DT,366.0,-5.5,-3.0,0.0,-4.0,1.5,0-0,1.0,0.0,6.0,1.0,10.0,3.0,0.0,7.0
132.0,Tony McDaniel,Tony McDaniel2012,2012,MIA,DT,255.0,-6.5,-4.0,0.5,-4.1,1.1,0-0,1.0,1.0,2.0,1.0,7.0,2.0,1.0,6.0
133.0,Dwan Edwards,Dwan Edwards2012,2012,CAR,DT,718.0,-6.9,-1.7,0.5,-6.5,0.8,41306.0,6.0,7.0,13.0,1.0,27.0,10.0,5.0,30.0
134.0,John Hughes,John Hughes2012,2012,CLV,DT,530.0,-7.3,-3.1,-0.5,-4.8,1.1,36526.0,3.0,0.0,6.0,1.0,23.0,5.0,2.0,19.0
135.0,Dontari Poe,Dontari Poe2012,2012,KC,DT,757.0,-7.4,-6.8,0.5,-4.0,2.9,0-0,0.0,3.0,9.0,3.0,34.0,4.0,3.0,29.0
136.0,Sen'Derrick Marks,Sen'Derrick Marks2012,2012,TEN,DT,691.0,-7.7,0.3,0.0,-5.1,-2.9,36678.0,2.0,6.0,12.0,5.0,30.0,6.0,8.0,23.0
137.0,Tommy Kelly,Tommy Kelly2012,2012,OAK,DT,776.0,-8.0,0.1,-0.5,0.3,-7.9,41548.0,1.0,6.0,12.0,2.0,30.0,7.0,2.0,24.0
138.0,Ron Edwards,Ron Edwards2012,2012,CAR,DT,319.0,-8.8,-3.4,0.5,-7.3,1.4,0-0,1.0,1.0,3.0,0.0,10.0,1.0,1.0,7.0
139.0,Ma'ake Kemoeatu,Ma'ake Kemoeatu2012,2012,BLT,DT,439.0,-9.2,-4.6,0.5,-7.0,1.9,0-0,1.0,1.0,1.0,2.0,17.0,6.0,0.0,12.0
140.0,Casey Hampton,Casey Hampton2012,2012,PIT,DT,503.0,-9.4,-8.8,0.0,0.5,-1.1,36586.0,0.0,1.0,2.0,0.0,12.0,6.0,0.0,11.0
140.0,Kendall Langford,Kendall Langford2012,2012,SL,DT,766.0,-9.4,0.3,-0.5,-6.1,-3.1,41458.0,4.0,3.0,13.0,2.0,20.0,8.0,2.0,11.0
142.0,Tyson Alualu,Tyson Alualu2012,2012,JAX,DT,847.0,-10.2,-7.8,0.0,-4.8,2.4,41275.0,4.0,1.0,12.0,0.0,33.0,6.0,2.0,27.0
143.0,Antonio Johnson,Antonio Johnson2012,2012,IND,DT,456.0,-10.4,-5.4,0.0,-4.9,-0.1,41366.0,0.0,3.0,3.0,0.0,17.0,4.0,2.0,12.0
144.0,Andre Neblett,Andre Neblett2012,2012,CAR,DT,251.0,-11.0,-3.3,-1.0,-5.8,-0.9,36557.0,1.0,0.0,4.0,0.0,5.0,1.0,1.0,4.0
145.0,Isaac Sopoaga,Isaac Sopoaga2012,2012,SF,DT,335.0,-12.0,-5.0,-1.0,-7.4,1.4,0-0,1.0,1.0,1.0,0.0,17.0,3.0,2.0,13.0
