#,Name,NameYear,Year,Team,Position,Snaps,Overall,Pass,Run,Blocking,Penalty,# of Pen,Att.,Yds,Avg.,YCo,YCo / Att.,LG,TD,MT,Fu
115,Justin Fargas,Justin Fargas2009,2009,OAK,HB,353,-7.3,-0.9,-3.7,-1.8,-0.9,Feb-00,129,491,3.8,339,2.6,35,3,13,1
116,Edgerrin James,Edgerrin James2009,2009,SEA,HB,93,-8.3,-0.1,-8,-0.2,0,0-0,46,125,2.7,95,2.1,10,0,3,1
117,Jamal Lewis,Jamal Lewis2009,2009,CLV,HB,304,-8.6,-1.9,-7.4,0.7,0,0-0,143,500,3.5,337,2.4,18,0,7,0
117,Julius Jones,Julius Jones2009,2009,SEA,HB,498,-8.6,-2.4,-4.7,-1.7,0.2,0-0,177,673,3.8,444,2.5,62,2,14,0
119,Steve Slaton,Steve Slaton2009,2009,HST,HB,453,-8.8,4.2,-8.2,-5,0.2,0-0,131,450,3.4,278,2.1,32,3,19,5
120,Larry Johnson,Larry Johnson2009,2009,KC,HB,327,-9.5,-0.3,-9.3,-0.3,0.4,0-0,132,380,2.9,294,2.2,19,0,5,2
121,LeSean McCoy,LeSean McCoy2009,2009,PHI,HB,610,-9.9,-3.3,-6.6,0,0,Jan-00,155,637,4.1,348,2.2,66,4,12,2
122,Mike Bell,Mike Bell2009,2009,NO,HB,271,-10.4,-1.4,-6.9,-1.1,-1,Jan-00,172,653,3.8,386,2.2,35,5,10,2
123,Tim Hightower,Tim Hightower2009,2009,ARZ,HB,676,-10.6,-3.7,-6.8,-0.5,0.4,0-0,142,597,4.2,426,3,50,8,16,3
124,Laurence Maroney,Laurence Maroney2009,2009,NE,HB,370,-10.7,0.5,-9.7,-1.5,0,0-0,194,757,3.9,456,2.4,45,9,22,3
125,Derrick Ward,Derrick Ward2009,2009,TB,HB,352,-11.4,0.1,-7.6,-0.9,-3,1-Mar,114,409,3.6,253,2.2,28,1,4,0
126,Glen Coffee,Glen Coffee2009,2009,SF,HB,232,-11.9,-1.7,-7.7,-2.7,0.2,0-0,83,226,2.7,184,2.2,17,1,4,0
127,Brandon Jacobs,Brandon Jacobs2009,2009,NYG,HB,516,-12.9,-3.4,-12,2.9,-0.4,1-Jan,224,832,3.7,577,2.6,31,5,20,2
128,LaDainian Tomlinson,LaDainian Tomlinson2009,2009,SD,HB,520,-13.5,-2,-8.9,-2.6,0,0-0,223,733,3.3,425,1.9,36,12,9,1
129,Jerome Harrison,Jerome Harrison2009,2009,CLV,HB,539,-14.1,-3.1,-10.3,-1.2,0.5,0-0,194,869,4.5,496,2.6,71,5,15,2
130,Thomas Jones,Thomas Jones2009,2009,NYJ,HB,641,-14.7,-3.8,-9.5,-0.6,-0.8,Jan-00,332,1402,4.2,701,2.1,71,14,14,2
131,Matt Forte,Matt Forte2009,2009,CHI,HB,865,-21.1,-0.3,-15.3,-6.1,0.6,Jan-00,258,929,3.6,545,2.1,61,4,26,5
1,Derrick Ward,Derrick Ward2008,2008,NYG,HB,559,8.7,-2.3,8.3,2.5,0.2,0-0,182,1025,5.6,667,3.7,51,2,20,2
2,DeAngelo Williams,DeAngelo Williams2008,2008,CAR,HB,612,7.6,-3.7,13.8,-1.6,-0.9,1-Jan,273,1515,5.5,1066,3.9,69,18,58,0
3,Darren Sproles,Darren Sproles2008,2008,SD,HB,192,6.7,4,3.8,-1.1,0,0-0,61,330,5.4,196,3.2,37,1,12,0
4,Pierre Thomas,Pierre Thomas2008,2008,NO,HB,360,4.7,4.4,1.4,-1.2,0.1,0-0,129,625,4.8,410,3.2,42,9,10,1
5,Correll Buckhalter,Correll Buckhalter2008,2008,PHI,HB,299,4.2,4.5,0.7,-1.3,0.3,0-0,76,369,4.9,275,3.6,33,2,12,0
6,J.J. Arrington,J.J. Arrington2008,2008,ARZ,HB,234,4,0.6,1.6,1.8,0,0-0,31,187,6,108,3.5,30,1,3,0
7,Steve Slaton,Steve Slaton2008,2008,HST,HB,763,3.8,3,0.7,-0.5,0.6,0-0,268,1282,4.8,829,3.1,71,9,34,2
8,Clinton Portis,Clinton Portis2008,2008,WAS,HB,758,3.6,-4.2,3.6,5.5,-1.3,1-Feb,342,1487,4.3,924,2.7,31,9,27,3
9,Chester Taylor,Chester Taylor2008,2008,MIN,HB,364,3.5,3.1,1.7,-1.3,0,0-0,101,399,4,291,2.9,21,4,14,0
10,Fred Jackson,Fred Jackson2008,2008,BUF,HB,382,3.4,3.1,-2.6,2.8,0.1,0-0,130,571,4.4,403,3.1,32,3,22,1
10,Patrick Cobbs,Patrick Cobbs2008,2008,MIA,HB,176,3.4,4,-0.4,-0.2,0,0-0,12,88,7.3,23,1.9,44,1,0,0
12,Heath Evans,Heath Evans2008,2008,NE,HB,25,3.3,0,0.3,3,0,0-0,1,3,3,2,2,3,0,0,0
12,Maurice Jones-Drew,Maurice Jones-Drew2008,2008,JAX,HB,706,3.3,5.3,-3,1.5,-0.5,Jan-00,197,824,4.2,490,2.5,46,12,28,4
14,Michael Turner,Michael Turner2008,2008,ATL,HB,629,3.1,-4.2,6.4,0.9,0,0-0,376,1699,4.5,1277,3.4,70,17,51,2
15,Sammy Morris,Sammy Morris2008,2008,NE,HB,340,2.8,1.8,1.5,-0.5,0,0-0,156,727,4.7,478,3.1,35,7,17,1
16,Michael Robinson,Michael Robinson2008,2008,SF,HB,76,2.6,1.8,-1.3,2.1,0,0-0,7,12,1.7,7,1,4,0,1,0
17,Peyton Hillis,Peyton Hillis2008,2008,DEN,HB,154,2.1,1.3,1.9,-0.2,-0.9,1-Jan,43,200,4.7,119,2.8,18,4,6,0
18,P.J. Pope,P.J. Pope2008,2008,DEN,HB,34,1.7,0.8,0.8,0.1,0,0-0,17,130,7.6,56,3.3,24,0,1,0
19,Kevin Faulk,Kevin Faulk2008,2008,NE,HB,478,1.3,6.5,1.8,-7.1,0.1,0-0,83,507,6.1,221,2.7,41,3,7,0
20,Jerome Harrison,Jerome Harrison2008,2008,CLV,HB,117,1.1,1.4,0.7,-1,0,0-0,34,246,7.2,130,3.8,72,1,3,0
20,Kenneth Darby,Kenneth Darby2008,2008,SL,HB,170,1.1,0.4,-2.5,4.2,-1,Jan-00,32,140,4.4,80,2.5,14,0,3,0
22,Jonathan Stewart,Jonathan Stewart2008,2008,CAR,HB,366,0.9,-2.1,2.3,0.7,0,0-0,184,839,4.6,647,3.5,44,10,35,2
23,Deuce McAllister,Deuce McAllister2008,2008,NO,HB,269,0.8,-0.8,-0.2,1.7,0.1,0-0,107,407,3.8,246,2.3,19,5,3,0
23,Najeh Davenport,Najeh Davenport2008,2008,IND,HB,29,0.8,1.2,-0.5,0.1,0,0-0,8,26,3.3,19,2.4,8,0,1,0
25,Kregg Lumpkin,Kregg Lumpkin2008,2008,GB,HB,10,0.7,0.4,0.3,0,0,0-0,1,19,19,3,3,19,0,0,0
26,T.J. Duckett,T.J. Duckett2008,2008,SEA,HB,98,0.6,-0.3,0.4,0.5,0,0-0,62,172,2.8,135,2.2,29,8,2,0
26,Danny Ware,Danny Ware2008,2008,NYG,HB,2,0.6,0,0.6,0,0,0-0,2,15,7.5,7,3.5,9,0,0,0
28,Ryan Torain,Ryan Torain2008,2008,DEN,HB,30,0.5,-0.3,0.6,0.2,0,0-0,15,69,4.6,27,1.8,19,1,2,0
28,Cadillac Williams,Cadillac Williams2008,2008,TB,HB,108,0.5,1,0,-0.5,0,0-0,63,233,3.7,131,2.1,28,4,2,1
28,Gary Russell,Gary Russell2008,2008,PIT,HB,58,0.5,-0.1,0,0.6,0,Jan-00,28,77,2.8,52,1.9,15,3,0,0
28,Alvin Pearman,Alvin Pearman2008,2008,JAX,HB,1,0.5,0.5,0,0,0,0-0,0,0,0,0,0,0,0,0,0
32,James Johnson,James Johnson2008,2008,CIN,HB,55,0.4,0.1,-0.3,0.6,0,0-0,9,29,3.2,16,1.8,12,0,0,0
33,Jackie Battle,Jackie Battle2008,2008,KC,HB,7,0.3,0,0,0.3,0,0-0,0,0,0,0,0,0,0,0,0
33,Najeh Davenport,Najeh Davenport2008,2008,PIT,HB,2,0.3,0,0.3,0,0,0-0,1,2,2,2,2,2,0,0,0
33,Montell Owens,Montell Owens2008,2008,JAX,HB,4,0.3,0,0.3,0,0,0-0,1,2,2,2,2,2,1,0,0
33,Adrian Peterson,Adrian Peterson2008,2008,CHI,HB,72,0.3,-1.1,0.7,0.7,0,0-0,20,100,5,74,3.7,16,0,2,0
37,Carey Davis,Carey Davis2008,2008,PIT,HB,12,0.2,-0.2,-0.2,0.6,0,0-0,1,11,11,3,3,11,0,0,0
38,Tony Hunt,Tony Hunt2008,2008,PHI,HB,2,0.1,0,0,0.1,0,0-0,0,0,0,0,0,0,0,0,0
38,Jalen Parmele,Jalen Parmele2008,2008,BLT,HB,4,0.1,0,0.1,0,0,0-0,2,27,13.5,26,13,31,0,0,0
40,DeDe Dorsey,DeDe Dorsey2008,2008,CIN,HB,16,0,0.9,-1,0.1,0,0-0,5,8,1.6,9,1.8,7,0,0,0
40,Marcus B. Thomas,Marcus B. Thomas2008,2008,DET,HB,1,0,0,0,0,0,0-0,0,0,0,0,0,0,0,0,0
40,Chauncey Washington,Chauncey Washington2008,2008,JAX,HB,11,0,-0.2,0.2,0,0,0-0,4,9,2.3,12,3,6,0,3,0
43,Shaun Alexander,Shaun Alexander2008,2008,WAS,HB,16,-0.1,0.4,-0.6,0.1,0,0-0,10,20,2,19,1.9,8,0,1,0
44,Felix Jones,Felix Jones2008,2008,DAL,HB,66,-0.2,-0.5,0.9,-0.6,0,0-0,30,266,8.9,118,3.9,60,3,1,0
45,Brandon Jackson,Brandon Jackson2008,2008,GB,HB,327,-0.3,-3.3,1.7,1.3,0,0-0,45,248,5.5,159,3.5,32,1,9,1
45,Chris J. Henry,Chris J. Henry2008,2008,TEN,HB,4,-0.3,-0.1,-0.2,0,0,0-0,1,3,3,2,2,3,0,0,0
47,Jesse Chatman,Jesse Chatman2008,2008,NYJ,HB,11,-0.4,0,-1,0.6,0,0-0,5,8,1.6,11,2.2,5,0,1,0
47,Deshawn Wynn,Deshawn Wynn2008,2008,GB,HB,47,-0.4,-1,0,0.6,0,0-0,8,110,13.8,16,2,73,1,0,0
47,Ahman Green,Ahman Green2008,2008,HST,HB,197,-0.4,-4.1,3.2,0.5,0,0-0,74,294,4,195,2.6,14,3,8,0
50,Aaron Stecker,Aaron Stecker2008,2008,NO,HB,66,-0.5,-1.4,-0.1,1,0,0-0,8,43,5.4,21,2.6,12,0,0,0
50,Mike Hart,Mike Hart2008,2008,IND,HB,7,-0.5,-0.6,0.1,0,0,0-0,2,9,4.5,7,3.5,7,0,2,0
50,Sam Gado,Sam Gado2008,2008,SL,HB,6,-0.5,0,-0.6,0.1,0,0-0,2,4,2,3,1.5,3,0,0,0
50,Chad Simpson,Chad Simpson2008,2008,IND,HB,41,-0.5,-0.4,-0.1,0,0,0-0,15,45,3,36,2.4,10,1,0,1
50,Tatum Bell,Tatum Bell2008,2008,DEN,HB,213,-0.5,-0.8,-1.3,2,-0.4,Jan-00,44,249,5.7,137,3.1,37,2,4,0
55,Selvin Young,Selvin Young2008,2008,DEN,HB,167,-0.6,-1.3,2,-1.3,0,0-0,61,303,5,168,2.8,49,1,10,1
56,Lance Ball,Lance Ball2008,2008,IND,HB,28,-0.7,-0.2,-0.5,0,0,0-0,13,83,6.4,53,4.1,23,0,3,1
57,Michael Pittman,Michael Pittman2008,2008,DEN,HB,278,-0.8,-1.4,-0.3,1.7,-0.8,Jan-00,76,320,4.2,162,2.1,20,4,3,0
57,Brandon Jacobs,Brandon Jacobs2008,2008,NYG,HB,405,-0.8,-5,2.2,3,-1,Jan-00,219,1089,5,730,3.3,44,15,25,3
57,Laurence Maroney,Laurence Maroney2008,2008,NE,HB,60,-0.8,-0.4,-1.3,0.9,0,0-0,28,93,3.3,42,1.5,17,0,1,0
57,Brian Leonard,Brian Leonard2008,2008,SL,HB,5,-0.8,-0.5,-0.4,0.1,0,0-0,2,7,3.5,6,3,5,0,0,0
61,Mike Bell,Mike Bell2008,2008,NO,HB,30,-1,0.3,-0.5,-0.8,0,0-0,13,42,3.2,24,1.8,15,1,1,0
61,Jerious Norwood,Jerious Norwood2008,2008,ATL,HB,430,-1,-0.6,-1.6,1.2,0,0-0,95,489,5.1,323,3.4,45,4,11,1
63,Xavier Omon,Xavier Omon2008,2008,BUF,HB,8,-1.1,0,-1.2,0.1,0,0-0,6,5,0.8,10,1.7,2,0,0,0
63,Jamaal Charles,Jamaal Charles2008,2008,KC,HB,389,-1.1,-3.9,0.4,2.4,0,0-0,67,357,5.3,208,3.1,30,0,10,1
65,Jason Snelling,Jason Snelling2008,2008,ATL,HB,31,-1.3,-0.1,-0.7,-0.5,0,0-0,8,47,5.9,27,3.4,13,0,0,0
66,Quinton Ganther,Quinton Ganther2008,2008,TEN,HB,33,-1.5,-0.3,-1.3,0.1,0,0-0,9,61,6.8,21,2.3,22,0,1,0
66,Michael A. Bennett,Michael A. Bennett2008,2008,TB,HB,10,-1.5,0,-1.5,0,0,0-0,7,12,1.7,11,1.6,4,0,0,0
68,Leon Washington,Leon Washington2008,2008,NYJ,HB,403,-1.6,0.7,0.2,-0.5,-2,Feb-00,76,448,5.9,243,3.2,61,6,15,0
69,Travis Minor,Travis Minor2008,2008,SL,HB,49,-1.7,-0.8,-0.3,-0.6,0,0-0,12,25,2.1,34,2.8,13,0,1,0
70,Dantrell Savage,Dantrell Savage2008,2008,KC,HB,58,-1.8,-0.5,-0.9,-0.5,0.1,0-0,15,53,3.5,25,1.7,11,0,2,0
71,Nick Goings,Nick Goings2008,2008,CAR,HB,16,-2,-0.6,-1.5,0.1,0,0-0,8,12,1.5,13,1.6,4,0,0,0
71,Rock Cartwright,Rock Cartwright2008,2008,WAS,HB,16,-2,-0.2,-0.5,-1.3,0,0-0,5,14,2.8,10,2,7,0,0,0
73,Matt Forte,Matt Forte2008,2008,CHI,HB,875,-2.2,7.7,-13.4,2.4,1.1,0-0,316,1238,3.9,692,2.2,50,8,22,1
73,Dominic Rhodes,Dominic Rhodes2008,2008,IND,HB,489,-2.2,-0.7,-1.3,0.4,-0.6,Jan-00,152,538,3.5,357,2.3,38,6,23,0
75,Rashard Mendenhall,Rashard Mendenhall2008,2008,PIT,HB,35,-2.5,-0.7,-0.1,-1.7,0,0-0,19,58,3.1,40,2.1,12,0,1,0
75,Kyle Eckel,Kyle Eckel2008,2008,PHI,HB,21,-2.5,0,-1.6,-0.9,0,0-0,14,49,3.5,34,2.4,14,0,0,0
75,Jason Wright,Jason Wright2008,2008,CLV,HB,301,-2.5,-3.9,-0.1,1.5,0,0-0,23,85,3.7,54,2.3,11,0,3,0
78,Larry Johnson,Larry Johnson2008,2008,KC,HB,440,-2.6,-1.1,-3.7,2.2,0,0-0,192,874,4.6,519,2.7,65,5,15,4
79,Chris Taylor,Chris Taylor2008,2008,HST,HB,31,-2.7,-0.2,-2.6,0.1,0,0-0,14,37,2.6,30,2.1,17,0,0,1
79,Kolby Smith,Kolby Smith2008,2008,KC,HB,127,-2.7,-1.4,-2.4,1.1,0,0-0,35,100,2.9,74,2.1,19,1,3,0
81,Thomas Jones,Thomas Jones2008,2008,NYJ,HB,569,-2.8,0.6,-4.5,2,-0.9,1-Jan,290,1312,4.5,766,2.6,59,13,18,2
81,Garrett Wolfe,Garrett Wolfe2008,2008,CHI,HB,27,-2.8,-0.2,-2.7,0.1,0,0-0,14,31,2.2,29,2.1,10,0,0,0
83,Clifton Smith,Clifton Smith2008,2008,TB,HB,41,-2.9,-1.4,-1.6,0.1,0,0-0,8,40,5,24,3,10,0,2,1
84,Ryan Moats,Ryan Moats2008,2008,HST,HB,60,-3,-0.3,-1.7,-1,0,0-0,26,94,3.6,51,2,12,1,1,0
85,Kevin S. Jones,Kevin S. Jones2008,2008,CHI,HB,65,-3.2,-0.3,-1.6,-1.3,0,0-0,34,109,3.2,87,2.6,16,0,5,0
85,Ronnie Brown,Ronnie Brown2008,2008,MIA,HB,646,-3.2,-1.8,0.7,-1.2,-0.9,1-Jan,214,916,4.3,592,2.8,62,10,32,1
87,Michael Bush,Michael Bush2008,2008,OAK,HB,300,-3.6,-1.3,-5,2.6,0.1,0-0,95,421,4.4,267,2.8,67,3,8,1
88,Lorenzo Booker,Lorenzo Booker2008,2008,PHI,HB,93,-3.8,-2.3,-1.3,-0.2,0,0-0,20,53,2.7,31,1.6,8,0,1,0
89,Ladell Betts,Ladell Betts2008,2008,WAS,HB,263,-4.1,-1.1,-3.6,0.6,0,0-0,61,206,3.4,153,2.5,14,1,5,1
90,Fred Taylor,Fred Taylor2008,2008,JAX,HB,336,-4.3,-3.6,-1.1,0.4,0,0-0,143,556,3.9,443,3.1,34,1,23,0
90,Rudi Johnson,Rudi Johnson2008,2008,DET,HB,260,-4.3,0.4,-2.8,-1.4,-0.5,Jan-00,76,237,3.1,220,2.9,27,1,15,1
92,Darren McFadden,Darren McFadden2008,2008,OAK,HB,294,-4.5,5.2,-5.9,-0.8,-3,Mar-00,113,499,4.4,232,2.1,50,4,3,3
92,Aveion Cason,Aveion Cason2008,2008,DET,HB,53,-4.5,-0.7,-0.8,-3,0,0-0,4,7,1.8,5,1.3,4,0,0,0
92,Earnest Graham,Earnest Graham2008,2008,TB,HB,388,-4.5,-2.2,-3.6,1,0.3,0-0,127,552,4.3,419,3.3,68,3,14,2
95,BenJarvus Green-Ellis,BenJarvus Green-Ellis2008,2008,NE,HB,144,-4.6,-1.7,-3.4,0.5,0,0-0,74,275,3.7,162,2.2,15,5,5,0
96,Lamont Jordan,Lamont Jordan2008,2008,NE,HB,126,-5.2,-0.6,-4.9,0.3,0,0-0,80,363,4.5,188,2.4,49,4,2,1
96,Brian Westbrook,Brian Westbrook2008,2008,PHI,HB,767,-5.2,-0.4,-5.9,0,1.1,0-0,233,936,4,477,2,39,9,12,1
98,Tashard Choice,Tashard Choice2008,2008,DAL,HB,267,-5.3,1,-2,-4.5,0.2,0-0,92,472,5.1,224,2.4,38,2,4,0
99,Maurice Morris,Maurice Morris2008,2008,SEA,HB,373,-5.8,-0.2,-2.2,-3.6,0.2,0-0,132,574,4.3,416,3.2,45,0,11,1
100,Mewelde Moore,Mewelde Moore2008,2008,PIT,HB,546,-6,-1.5,-1.4,-3.5,0.4,0-0,140,588,4.2,344,2.5,32,5,15,0
100,DeShaun Foster,DeShaun Foster2008,2008,SF,HB,202,-6,2,-7.4,0.3,-0.9,1-Jan,76,234,3.1,164,2.2,18,1,3,2
100,Andre Hall,Andre Hall2008,2008,DEN,HB,120,-6,-0.1,-2.6,-1.3,-2,Feb-00,35,144,4.1,77,2.2,16,0,1,2
100,Ahmad Bradshaw,Ahmad Bradshaw2008,2008,NYG,HB,136,-6,0.2,-4.3,-0.9,-1,Jan-00,67,355,5.3,287,4.3,77,1,12,2
104,Adrian L. Peterson,Adrian L. Peterson2008,2008,MIN,HB,726,-6.3,-4.9,2.2,-2.2,-1.4,1-Feb,363,1760,4.8,1174,3.2,67,10,52,9
104,Kevin Smith,Kevin Smith2008,2008,DET,HB,733,-6.3,-2.2,-1.2,-1.1,-1.8,1-Mar,238,976,4.1,680,2.9,50,8,32,2
106,Ray Rice,Ray Rice2008,2008,BLT,HB,349,-6.6,2.4,-5.9,-1.2,-1.9,Feb-00,107,454,4.2,281,2.6,60,0,14,1
107,Chris D. Johnson,Chris D. Johnson2008,2008,TEN,HB,656,-6.7,-4,1,-3.2,-0.5,Feb-00,251,1228,4.9,781,3.1,66,9,34,1
108,Le'Ron McClain,Le'Ron McClain2008,2008,BLT,HB,506,-6.9,-0.3,-9.6,2.5,0.5,Jan-00,205,797,3.9,604,2.9,82,9,31,2
109,Marion Barber III,Marion Barber III2008,2008,DAL,HB,720,-7.4,-2.1,-5.7,0.5,-0.1,Jan-00,238,885,3.7,569,2.4,35,7,27,3
109,Antonio Pittman,Antonio Pittman2008,2008,SL,HB,245,-7.4,-4.6,-2.1,-0.7,0,0-0,79,296,3.7,160,2,24,0,10,0
111,Joseph Addai,Joseph Addai2008,2008,IND,HB,452,-8,-2.3,-4.2,-1.8,0.3,0-0,155,544,3.5,362,2.3,23,5,18,1
112,Ricky Williams,Ricky Williams2008,2008,MIA,HB,474,-8.2,-0.8,-9.4,3.5,-1.5,2-Feb,161,659,4.1,377,2.3,51,4,11,4
113,Marshawn Lynch,Marshawn Lynch2008,2008,BUF,HB,689,-8.5,-5.9,3.4,-5,-1,1-Mar,250,1036,4.1,749,3,50,8,43,2
114,Warrick Dunn,Warrick Dunn2008,2008,TB,HB,607,-8.7,-5.4,-1.8,-1.8,0.3,0-0,186,786,4.2,451,2.4,40,2,13,0
115,Reggie Bush,Reggie Bush2008,2008,NO,HB,431,-8.8,1,-4.5,-4.6,-0.7,Jan-00,106,404,3.8,219,2.1,43,2,8,1
116,Steven Jackson,Steven Jackson2008,2008,SL,HB,628,-9.4,-0.3,-6,-2.3,-0.8,Feb-00,253,1042,4.1,758,3,56,7,25,5
117,Justin Fargas,Justin Fargas2008,2008,OAK,HB,473,-9.5,-2.7,-6.4,-0.5,0.1,0-0,217,853,3.9,518,2.4,42,1,13,2
118,Cedric Benson,Cedric Benson2008,2008,CIN,HB,465,-10,1,-10.8,-0.5,0.3,0-0,214,747,3.5,509,2.4,46,2,15,2
119,LenDale White,LenDale White2008,2008,TEN,HB,338,-10.1,-6.5,-5.6,2,0,0-0,200,773,3.9,413,2.1,80,15,5,0
120,Kenny Watson,Kenny Watson2008,2008,CIN,HB,129,-11,-2.2,-1.6,-6.2,-1,Jan-00,13,55,4.2,30,2.3,7,0,0,0
121,Julius Jones,Julius Jones2008,2008,SEA,HB,403,-11.8,-3.4,-4.9,-3.7,0.2,0-0,158,698,4.4,427,2.7,33,2,23,3
122,Edgerrin James,Edgerrin James2008,2008,ARZ,HB,334,-11.9,-4.8,-7.7,0.6,0,0-0,133,514,3.9,343,2.6,35,3,11,1
123,Tim Hightower,Tim Hightower2008,2008,ARZ,HB,494,-12.3,-4.6,-8.5,0.7,0.1,0-0,143,399,2.8,333,2.3,30,10,11,1
124,Willis McGahee,Willis McGahee2008,2008,BLT,HB,414,-12.9,-2.5,-7.6,-1,-1.8,Feb-00,170,671,3.9,464,2.7,77,7,19,2
125,Frank Gore,Frank Gore2008,2008,SF,HB,746,-13.1,-3.4,-7.8,-0.6,-1.3,Feb-00,240,1036,4.3,612,2.6,41,6,20,6
126,Willie Parker,Willie Parker2008,2008,PIT,HB,386,-13.3,-2.1,-10,-0.3,-0.9,Jan-00,210,791,3.8,551,2.6,34,5,18,0
127,Ryan Grant,Ryan Grant2008,2008,GB,HB,599,-16.4,-3.7,-11.3,-1.6,0.2,0-0,312,1203,3.9,814,2.6,57,4,23,4
128,Chris Perry,Chris Perry2008,2008,CIN,HB,366,-17.6,-4.3,-15.8,2.3,0.2,0-0,104,269,2.6,180,1.7,25,2,3,3
129,LaDainian Tomlinson,LaDainian Tomlinson2008,2008,SD,HB,771,-18.1,-2.6,-5.9,-9.2,-0.4,Feb-00,292,1110,3.8,704,2.4,45,11,24,0
130,Jamal Lewis,Jamal Lewis2008,2008,CLV,HB,569,-19.1,-3.3,-12.8,-3.1,0.1,0-0,279,1002,3.6,706,2.5,29,4,24,1
1,Vonta Leach,Vonta Leach2012,2012,BLT,FB,465,19.1,1.2,0.7,16.5,0.7,Jan-00,9,32,3.6,15,1.7,6,1,0,0
2,Rhett Ellison,Rhett Ellison2012,2012,MIN,FB,251,14.8,1.6,0,12.2,1,0-0,0,0,0,0,0,0,0,0,0
2,Marcel Reece,Marcel Reece2012,2012,OAK,FB,553,14.8,7.5,1.3,7.2,-1.2,Mar-00,37,161,4.4,122,3.3,17,0,3,1
4,Mike Tolbert,Mike Tolbert2012,2012,CAR,FB,452,14.3,5.9,5.8,1,1.6,0-0,54,183,3.4,139,2.6,13,7,3,0
5,Darrel Young,Darrel Young2012,2012,WAS,FB,335,9.3,1,1.4,6.6,0.3,Jan-00,14,60,4.3,26,1.9,16,0,1,0
5,Jerome Felton,Jerome Felton2012,2012,MIN,FB,402,9.3,-0.1,0,7.9,1.5,0-0,0,0,0,0,0,0,0,0,0
7,Bruce Miller,Bruce Miller2012,2012,SF,FB,460,8.5,-0.9,0.8,7.1,1.5,0-0,5,18,3.6,8,1.6,9,0,0,0
8,Henry Hynoski,Henry Hynoski2012,2012,NYG,FB,428,8,-0.7,-0.5,7.6,1.6,0-0,5,20,4,11,2.2,5,0,0,0
9,Jed Collins,Jed Collins2012,2012,NO,FB,328,7.4,0.9,0,6.1,0.4,Feb-00,0,0,0,0,0,0,0,0,0
10,James Casey,James Casey2012,2012,HST,FB,609,7,7.6,0.3,-1.1,0.2,Feb-00,1,6,6,3,3,6,0,0,0
11,Patrick DiMarco,Patrick DiMarco2012,2012,KC,FB,124,6.3,-0.3,0,6.2,0.4,0-0,0,0,0,0,0,0,0,0,0
11,Greg Jones II,Greg Jones II2012,2012,JAX,FB,246,6.3,-2.3,0.5,8.1,0,Jan-00,5,8,1.6,8,1.6,4,0,1,0
13,John Kuhn,John Kuhn2012,2012,GB,FB,383,4.3,0.9,-1.1,4.4,0.1,Feb-00,22,58,2.6,30,1.4,9,1,0,0
14,Will Tukuafu (Off.),Will Tukuafu (Off.)2012,2012,SF,FB,92,3.9,-0.1,0,5.9,-1.9,Feb-00,0,0,0,0,0,0,0,0,0
15,Michael Robinson,Michael Robinson2012,2012,SEA,FB,335,2.3,2.3,1.9,-3.3,1.4,0-0,11,20,1.8,12,1.1,6,0,0,0
16,Will Johnson,Will Johnson2012,2012,PIT,FB,366,2.1,1,0.1,-0.4,1.4,0-0,2,7,3.5,6,3,5,0,0,0
16,Mike Cox,Mike Cox2012,2012,ATL,FB,137,2.1,0.5,0,1,0.6,0-0,0,0,0,0,0,0,0,0,0
18,Evan Rodriguez,Evan Rodriguez2012,2012,CHI,FB,217,2,-1.5,0,2.7,0.8,0-0,0,0,0,0,0,0,0,0,0
18,Stanley Havili,Stanley Havili2012,2012,PHI,FB,232,2,-2.1,0.3,2.9,0.9,0-0,6,22,3.7,14,2.3,8,1,1,0
20,Kyle Adams,Kyle Adams2012,2012,CHI,FB,22,1.8,0,0,1.7,0.1,0-0,0,0,0,0,0,0,0,0,0
21,Mitch Unrein (Off.),Mitch Unrein (Off.)2012,2012,DEN,FB,10,1.6,0,0,1.6,0,0-0,0,0,0,0,0,0,0,0,0
21,Montell Owens,Montell Owens2012,2012,JAX,FB,9,1.6,0,0,1.6,0,0-0,0,0,0,0,0,0,0,0,0
23,Mario Harvey (Off.),Mario Harvey (Off.)2012,2012,IND,FB,9,1.5,0,0,1.5,0,0-0,0,0,0,0,0,0,0,0,0
24,Jason Snelling,Jason Snelling2012,2012,ATL,FB,25,1.4,0.4,-0.2,1.1,0.1,0-0,1,2,2,2,2,2,0,0,0
24,Jacob Hester,Jacob Hester2012,2012,DEN,FB,39,1.4,0.3,0.6,0.3,0.2,0-0,10,61,6.1,32,3.2,18,1,1,0
26,Nate Eachus,Nate Eachus2012,2012,KC,FB,132,1.3,-0.5,0.1,1.3,0.4,0-0,5,18,3.6,11,2.2,7,0,1,0
26,Corey McIntyre,Corey McIntyre2012,2012,BUF,FB,103,1.3,0.5,0,0.7,0.1,0-0,0,0,0,0,0,0,0,0,0
28,Owen Schmitt,Owen Schmitt2012,2012,OAK,FB,91,1.1,-0.2,0.1,1,0.2,Jan-00,2,1,0.5,1,0.5,2,0,0,0
29,Tyler Clutts,Tyler Clutts2012,2012,HST,FB,31,0.7,0,0,0.7,0,0-0,0,0,0,0,0,0,0,0,0
30,Kyle D. Williams (Off.),Kyle D. Williams (Off.)2012,2012,BUF,FB,3,0.5,0,0,0.5,0,0-0,0,0,0,0,0,0,0,0,0
