Row,Name,NameYear,Team,Year,Snaps,Overall Grade,Pass Grade,Run Grade,Blocking Grade,Penalty Grade,Routes Run,Targets,Receptions,Catch%,Yards,Yards/Route,Yards / Reception,Yards After Catch,Yards After Catch / Reception,Long,Touchdowns,Interceptions,Dropped Passes,Missed Tackles Forced,Fumbles,WR Rating,Deep Targets,Deep Receptions,Deep Drops,Deep Yards,Deep Catchable,Deep TDs,Deep Target %,Deep Drop Rate,Deep Catch Rate,Slot Routes,Slot %,Slot Targets,Slot Target %,Slot Receptions,Slot Drops,Slot Yards,Slot YPRR,Slot TDs,Slot Drop Rate,Slot Catch Rate
858, Nate Burleson, Nate Burleson2008,SEA,2008,48,0.4,0.4,0,-0.1,0.1,30,7,5,71.4,60,2,12,6,1.2,20,1,0,1,0,0,136.9,1,1,0,20,1,1,14.3,0,100,13,43.3,2,15.4,1,1,2,0.15,0,50,50
859, Sidney Rice, Sidney Rice2008,MIN,2008,278,0.4,0.9,0,-0.3,-0.2,145,29,15,51.7,141,0.97,9.4,34,2.3,23,4,2,0,1,0,76.3,4,0,0,0,0,0,13.8,0,0,26,17.9,3,11.5,1,0,23,0.88,1,0,33.3
860, Allen Rossum, Allen Rossum2008,SF,2008,3,0.3,0,0.3,0,0,1,1,1,100,4,4,4,7,7,4,0,0,0,0,0,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861, Glenn Martinez, Glenn Martinez2008,DEN,2008,30,0.3,0.2,0,0,0.1,22,4,3,75,32,1.45,10.7,1,0.3,12,0,0,0,0,0,97.9,0,0,0,0,0,0,0,0,0,17,77.3,3,17.6,2,0,20,1.18,0,0,66.7
862, Kelley Washington, Kelley Washington2008,NE,2008,13,0.3,-0.2,0,0.5,0,8,2,1,50,3,0.38,3,6,6,3,0,0,0,0,0,56.3,0,0,0,0,0,0,0,0,0,5,62.5,2,40,1,0,3,0.6,0,0,50
863, Lavelle Hawkins, Lavelle Hawkins2008,TEN,2008,162,0.3,0.1,0,-0.1,0.3,84,9,7,77.8,68,0.81,9.7,20,2.9,19,0,0,1,1,0,98.1,0,0,0,0,0,0,0,0,0,19,22.6,5,26.3,3,1,30,1.58,0,25,60
864, Brian Clark, Brian Clark2008,TB,2008,22,0.1,0.1,0,0,0,14,2,1,50,12,0.86,12,4,4,12,0,0,0,0,0,116.7,0,0,0,0,0,0,0,0,0,8,57.1,1,12.5,1,0,12,1.5,0,0,100
865, Legedu Naanee, Legedu Naanee2008,SD,2008,100,0.1,0,0,0,0.1,63,10,8,80,64,1.02,8,32,4,18,0,0,1,2,0,93.3,1,0,0,0,0,0,10,0,0,42,66.7,4,9.5,4,0,31,0.74,0,0,100
866, Arnaz Battle, Arnaz Battle2008,SF,2008,257,0,0.5,-0.2,1,-1.3,180,39,24,61.5,318,1.77,13.3,144,6,36,0,6,3,1,0,47.8,6,3,0,79,3,0,15.4,0,50,144,80,36,25,21,3,288,2,0,12.5,58.3
867, Chad Jackson, Chad Jackson2008,DEN,2008,35,0,0,0,0,0,18,1,1,100,19,1.06,19,20,20,19,0,0,0,0,0,118.8,0,0,0,0,0,0,0,0,0,7,38.9,1,14.3,1,0,19,2.71,0,0,100
