Row,Name,NameYear,Team,Year,Snaps,Overall Grade,Pass Grade,Run Grade,Blocking Grade,Penalty Grade,Routes Run,Targets,Receptions,Catch%,Yards,Yards/Route,Yards / Reception,Yards After Catch,Yards After Catch / Reception,Long,Touchdowns,Interceptions,Dropped Passes,Missed Tackles Forced,Fumbles,WR Rating,Deep Targets,Deep Receptions,Deep Drops,Deep Yards,Deep Catchable,Deep TDs,Deep Target %,Deep Drop Rate,Deep Catch Rate,Slot Routes,Slot %,Slot Targets,Slot Target %,Slot Receptions,Slot Drops,Slot Yards,Slot YPRR,Slot TDs,Slot Drop Rate,Slot Catch Rate
913, Maurice Stovall, Maurice Stovall2008,TB,2008,32,-1.6,-2.6,0,1,0,18,8,3,37.5,25,1.39,8.3,4,1.3,9,0,0,2,0,1,52.7,1,0,1,0,1,0,14.3,100,0,13,72.2,3,23.1,2,0,16,1.23,0,0,66.7
914, Greg Lewis, Greg Lewis2008,PHI,2008,232,-1.7,-2,0,0.9,-0.6,142,33,19,57.6,247,1.74,13,63,3.3,52,1,1,2,2,0,78.7,7,2,0,74,2,0,21.2,0,28.6,42,29.6,8,19,4,1,34,0.81,1,20,50
915, Chansi Stuckey, Chansi Stuckey2008,NYJ,2008,415,-1.8,-0.7,-0.2,0,-0.9,309,43,32,74.4,359,1.16,11.2,200,6.3,31,3,2,0,6,0,102.8,3,2,0,50,2,1,7,0,66.7,267,86.4,38,14.2,30,0,344,1.29,3,0,78.9
916, Eddie Kennison, Eddie Kennison2008,SL,2008,46,-1.8,-0.9,0,-1,0.1,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6,2,0,0,0,0,0,100,0,0,11,45.8,1,9.1,0,0,0,0,0,0,0
917, Todd Watkins, Todd Watkins2008,OAK,2008,98,-1.8,-1.9,0,1,-0.9,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6,1,0,0,0,0,0,100,0,0,10,20.4,1,10,0,0,0,0,0,0,0
918, Troy Williamson, Troy Williamson2008,JAX,2008,151,-1.8,-1.8,-0.2,-0.1,0.3,77,13,5,38.5,30,0.39,6,4,0.8,10,1,1,1,1,0,40.2,5,0,0,0,0,0,38.5,0,0,20,26,2,10,1,0,10,0.5,1,0,50
919, Antonio Chatman, Antonio Chatman2008,CIN,2008,241,-1.9,-2,-0.4,-0.1,0.6,171,30,21,70,194,1.13,9.2,124,5.9,25,0,1,1,2,1,73.5,5,0,0,0,0,0,16.7,0,0,60,35.1,9,15,8,0,66,1.1,0,0,88.9
920, DeSean Jackson, DeSean Jackson2008,PHI,2008,750,-1.9,-4.4,0.6,0.2,1.7,506,115,62,53.9,915,1.81,14.8,273,4.4,60,2,6,9,3,0,64.2,27,11,2,334,13,1,23.5,15.38,40.7,100,19.8,22,22,17,2,333,3.33,1,10.53,77.3
921, Brandon Middleton, Brandon Middleton2008,DET,2008,41,-2,-1.5,0,-0.5,0,31,3,1,33.3,23,0.74,23,2,2,23,0,0,1,0,0,61.8,1,1,0,23,1,0,33.3,0,100,18,58.1,2,11.1,1,1,23,1.28,0,50,50
922, Hank Baskett, Hank Baskett2008,PHI,2008,548,-2.1,-0.7,0,-0.8,-0.6,299,51,33,64.7,437,1.43,13.2,153,4.6,90,3,2,4,3,1,94.5,7,4,0,155,4,1,14,0,57.1,131,43.8,18,13.7,10,2,97,0.74,0,16.67,55.6
923, Jerheme Urban, Jerheme Urban2008,ARZ,2008,464,-2.1,-4.2,0,2.9,-0.8,365,48,34,70.8,448,1.23,13.2,169,5,56,4,4,3,3,0,93.1,8,5,1,153,6,2,16.7,16.67,62.5,321,87.9,45,14,32,3,437,1.36,4,8.57,71.1
924, Javon Walker, Javon Walker2008,OAK,2008,318,-2.3,-1.5,0,-0.6,-0.2,176,29,15,51.7,196,1.07,13.1,33,2.2,29,1,2,1,2,0,53.9,5,1,1,27,2,0,17.9,50,20,11,6.3,1,9.1,1,0,5,0.45,0,0,100
925, Josh Morgan, Josh Morgan2008,SF,2008,351,-2.3,-3.3,0,0.6,0.4,241,39,20,51.3,319,1.32,16,102,5.1,48,3,2,3,1,0,83.2,10,5,1,160,6,3,25.6,16.67,50,36,14.9,4,11.1,2,0,26,0.72,1,0,50
926, Mike Furrey, Mike Furrey2008,DET,2008,269,-2.3,-4.5,0,1.4,0.8,203,32,18,56.3,183,0.9,10.2,51,2.8,25,0,2,1,0,0,46.7,4,2,0,48,2,0,12.5,0,50,177,87.2,27,15.3,16,1,166,0.94,0,5.88,59.3
927, Glenn Holt, Glenn Holt2008,CIN,2008,129,-2.4,-4.7,0,1.9,0.4,66,11,3,27.3,26,0.39,8.7,0,0,10,1,0,4,0,0,69.9,1,0,0,0,0,0,9.1,0,0,8,12.1,1,12.5,0,0,0,0,0,0,0
928, Laveranues Coles, Laveranues Coles2008,NYJ,2008,891,-2.4,-4.1,-0.4,2.7,-0.6,532,112,70,62.5,839,1.58,12,301,4.3,54,7,8,13,7,0,77.1,21,4,1,105,5,1,19.1,20,19,55,10.3,12,21.8,6,5,80,1.45,0,45.45,50
929, John Standeford, John Standeford2008,DET,2008,311,-2.5,-1.9,0,-0.4,-0.2,195,30,15,50,244,1.25,16.3,42,2.8,36,0,1,0,1,1,63.8,8,2,0,68,2,0,26.7,0,25,62,31.8,9,14.5,6,0,105,1.69,0,0,66.7
930, Koren Robinson, Koren Robinson2008,SEA,2008,630,-2.5,-5.2,-0.2,2.3,0.6,361,56,31,55.4,400,1.11,12.9,132,4.3,90,2,5,6,1,0,52.7,10,1,0,90,1,1,17.9,0,10,84,23.3,14,16.7,13,1,128,1.52,1,7.14,92.9
931, Derek Stanley, Derek Stanley2008,SL,2008,72,-2.6,0,-1.2,-0.5,-0.9,43,11,6,54.5,119,2.77,19.8,70,11.7,80,1,1,1,0,0,85,3,1,0,80,1,1,27.3,0,33.3,3,7,0,0,0,0,0,0,0,0,0
932, Jordan Kent, Jordan Kent2008,SEA,2008,62,-2.8,-2.9,0,0,0.1,45,6,0,0,0,0,0,0,0,0,0,0,1,0,0,39.6,2,0,0,0,0,0,33.3,0,0,11,24.4,0,0,0,0,0,0,0,0,0
933, Aundrae Allison, Aundrae Allison2008,MIN,2008,248,-2.9,-1.3,-0.2,1,-2.4,164,21,10,47.6,109,0.66,10.9,51,5.1,21,0,2,0,1,0,26.9,2,0,0,0,0,0,10,0,0,51,31.1,6,11.8,3,0,29,0.57,0,0,50
934, Demetrius Williams, Demetrius Williams2008,BLT,2008,173,-2.9,-3,0,0.8,-0.7,114,23,13,56.5,180,1.58,13.8,54,4.2,70,1,2,1,2,0,60.1,4,1,0,70,1,1,17.4,0,25,6,5.3,1,16.7,0,0,0,0,0,0,0
935, Malcolm Kelly, Malcolm Kelly2008,WAS,2008,96,-2.9,-3.1,0,-0.1,0.3,60,9,3,33.3,18,0.3,6,7,2.3,7,0,0,2,0,0,42.4,3,0,1,0,1,0,33.3,100,0,5,8.3,0,0,0,0,0,0,0,0,0
936, Devery Henderson, Devery Henderson2008,NO,2008,837,-3,-5.3,0.2,1.3,0.8,534,56,32,57.1,793,1.49,24.8,270,8.4,84,3,5,3,1,1,82.4,21,8,1,438,9,1,37.5,11.11,38.1,190,35.6,18,9.5,11,1,234,1.23,0,8.33,61.1
937, Ronald Curry, Ronald Curry2008,OAK,2008,435,-3,-5.6,0.5,1,1.1,202,47,19,40.4,197,0.98,10.4,52,2.7,16,2,0,4,1,0,67.4,7,0,0,0,0,0,14.9,0,0,115,56.9,31,27,13,2,134,1.17,2,13.33,41.9
938, Logan Payne, Logan Payne2008,SEA,2008,52,-3.1,-1.1,0,-1.1,-0.9,32,4,3,75,39,1.22,13,4,1.3,22,0,0,0,0,1,105.2,1,1,0,22,1,0,25,0,100,26,81.3,3,11.5,2,0,25,0.96,0,0,66.7
939, Antwaan Randle El, Antwaan Randle El2008,WAS,2008,948,-3.3,-3,-0.2,-0.1,0,530,79,53,67.1,593,1.1,11.2,194,3.7,31,4,2,6,4,0,95.3,5,0,1,0,1,0,6.4,100,0,349,65.8,58,16.6,38,5,398,1.14,3,11.63,65.5
940, Marcus A. Smith, Marcus A. Smith2008,BLT,2008,115,-3.6,-2.9,0,-0.1,-0.6,71,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,18.3,1,7.7,0,1,0,0,0,100,0
941, Patrick Crayton, Patrick Crayton2008,DAL,2008,674,-3.6,-7.9,0.3,2.3,1.7,447,68,39,57.4,550,1.23,14.1,216,5.5,55,4,0,5,3,1,103.2,10,3,1,84,4,1,14.7,25,30,286,64,43,15,26,4,375,1.31,2,13.33,60.5
942, Darrell Jackson, Darrell Jackson2008,DEN,2008,227,-3.7,-2.3,0,1.2,-2.6,136,20,12,60,190,1.4,15.8,55,4.6,48,1,1,2,0,0,87.5,5,4,0,129,4,1,25,0,80,51,37.5,8,15.7,5,1,87,1.71,0,16.67,62.5
943, Mark Bradley, Mark Bradley2008,KC,2008,496,-3.7,-4.2,0,1.1,-0.6,331,59,30,50.8,380,1.15,12.7,98,3.3,56,3,1,4,2,0,81.2,16,6,0,210,6,3,27.1,0,37.5,30,9,0,0,0,0,0,0,0,0,0
944, Justin McCareins, Justin McCareins2008,TEN,2008,624,-3.8,-5.1,-1.9,2.5,0.7,324,63,30,47.6,412,1.27,13.7,82,2.7,37,0,2,5,1,1,55.8,21,6,2,155,8,0,33.3,25,28.6,65,20.1,9,13.8,8,1,70,1.08,0,11.11,88.9
945, Billy McMullen, Billy McMullen2008,SEA,2008,182,-3.9,-3,0,-1.3,0.4,87,17,7,41.2,124,1.43,17.7,21,3,34,0,1,1,0,1,42.3,3,2,0,65,2,0,17.6,0,66.7,10,11.5,2,20,0,0,0,0,0,0,0
946, Keary Colbert, Keary Colbert2008,SEA,2008,251,-3.9,-5.2,0,0.5,0.8,86,16,7,43.8,52,0.74,7.4,10,1.4,11,1,0,2,0,0,78,0,0,0,0,0,0,0,0,0,43,50,4,9.3,2,1,16,0.37,0,33.33,50
947, Plaxico Burress, Plaxico Burress2008,NYG,2008,559,-4,-4.1,0,2,-1.9,275,65,35,53.8,454,1.59,13,66,1.9,33,4,3,6,1,0,76.1,13,4,2,113,6,1,20.3,33.33,30.8,57,20.7,9,15.8,6,0,73,1.28,1,0,66.7
948, Ted Ginn, Ted Ginn2008,MIA,2008,641,-4.3,-2.9,0.9,-0.5,-1.8,406,91,56,61.5,789,1.94,14.1,208,3.7,64,2,3,6,3,3,83.1,12,5,0,202,5,2,13.2,0,41.7,37,9.1,6,16.2,4,0,33,0.89,0,0,66.7
949, Ashley Lelie, Ashley Lelie2008,OAK,2008,448,-4.5,-8,0,2.3,1.2,236,41,11,26.8,197,0.83,17.9,24,2.2,51,2,2,2,1,0,43,12,4,0,119,4,0,29.3,0,33.3,33,14,8,24.2,2,0,30,0.91,0,0,25
950, Bobby Engram, Bobby Engram2008,SEA,2008,529,-4.6,-6.1,0,1.1,0.4,318,77,47,61,489,1.54,10.4,177,3.8,37,0,2,8,2,1,68.6,7,1,2,21,3,0,9.1,66.67,14.3,260,81.8,65,25,40,7,418,1.61,0,14.89,61.5
951, Chad Ochocinco, Chad Ochocinco2008,CIN,2008,802,-4.6,-3.6,0,0.3,-1.3,513,87,53,60.9,540,1.04,10.2,92,1.7,26,4,2,6,0,0,84.1,11,1,0,26,1,0,12.8,0,9.1,42,8.2,8,19,5,2,44,1.05,1,28.57,62.5
952, Keenan Burton, Keenan Burton2008,SL,2008,372,-4.7,-4.9,-1.1,0.3,1,190,28,13,46.4,172,0.91,13.2,64,4.9,30,1,1,1,0,0,63.4,8,2,0,57,2,1,28.6,0,25,100,52.6,15,15,7,1,95,0.95,0,12.5,46.7
953, Chaz Schilens, Chaz Schilens2008,OAK,2008,423,-4.8,-1.6,-0.2,-1.2,-1.8,217,30,15,50,226,1.04,15.1,53,3.5,60,2,1,0,1,0,83.5,9,2,0,80,2,1,30,0,22.2,70,32.3,10,14.3,4,0,50,0.71,1,0,40
954, Jerry Porter, Jerry Porter2008,JAX,2008,350,-5.1,-6,0,0,0.9,216,27,11,40.7,181,0.84,16.5,43,3.9,33,1,2,4,1,0,45.4,5,3,1,84,4,0,18.5,25,60,68,31.5,9,13.2,4,2,96,1.41,0,33.33,44.4
955, Amani Toomer, Amani Toomer2008,NYG,2008,883,-5.2,-4.5,0,-0.6,-0.1,468,87,48,55.2,580,1.24,12.1,147,3.1,40,4,2,6,2,1,81.6,18,4,2,130,6,1,20.7,33.33,22.2,218,46.6,36,16.5,21,4,222,1.02,3,16,58.3
956, Courtney Taylor, Courtney Taylor2008,SEA,2008,252,-5.3,-5.6,0,-0.3,0.6,144,24,9,37.5,98,0.68,10.9,36,4,26,0,1,3,0,0,33,4,0,0,0,0,0,16.7,0,0,17,11.8,4,23.5,1,1,2,0.12,0,50,25
957, Reggie Williams, Reggie Williams2008,JAX,2008,619,-5.6,-6.7,0.3,2.4,-1.6,366,58,37,63.8,364,0.99,9.8,69,1.9,32,3,3,5,0,0,78.4,5,2,1,62,3,0,8.8,33.33,40,63,17.2,15,23.8,13,1,118,1.87,1,7.14,86.7
958, Johnnie Lee Higgins, Johnnie Lee Higgins2008,OAK,2008,376,-5.7,-4.2,0.9,-1.3,-1.1,205,41,22,53.7,366,1.79,16.6,213,9.7,84,4,1,3,0,0,106.4,12,2,0,52,2,1,29.3,0,16.7,99,48.3,18,18.2,8,1,156,1.58,1,11.11,44.4
959, Will Franklin, Will Franklin2008,KC,2008,288,-5.7,-6.3,0,-0.1,0.7,214,17,7,41.2,83,0.39,11.9,33,4.7,42,0,1,1,3,0,32.2,4,1,1,42,2,0,23.5,50,25,198,92.5,17,8.6,7,1,83,0.42,0,12.5,41.2
960, Limas Sweed, Limas Sweed2008,PIT,2008,93,-5.8,-1.4,0,0,-4.4,67,10,6,60,64,0.96,10.7,22,3.7,17,0,1,0,0,0,39.2,2,1,0,12,1,0,20,0,50,9,13.4,2,22.2,1,0,10,1.11,0,0,50
961, Rashied Davis, Rashied Davis2008,CHI,2008,686,-5.8,-5.8,-0.1,1.4,-1.3,375,62,35,56.5,445,1.19,12.7,156,4.5,36,2,1,8,2,0,83.1,11,2,2,51,4,1,17.7,50,18.2,193,51.5,26,13.5,14,5,166,0.86,2,26.32,53.8
962, James Thrash, James Thrash2008,WAS,2008,350,-5.9,-8.5,0,2.7,-0.1,225,20,9,45,81,0.36,9,21,2.3,29,1,1,2,1,0,52.3,4,1,1,29,2,0,20,50,25,30,13.3,5,16.7,1,1,3,0.1,1,50,20
963, James Hardy, James Hardy2008,BUF,2008,282,-6.1,-5.5,0,-0.2,-0.4,188,23,9,39.1,87,0.46,9.7,22,2.4,17,2,2,2,0,0,43.2,5,0,0,0,0,0,21.7,0,0,26,13.8,3,11.5,2,1,12,0.46,1,33.33,66.7
964, Devin Thomas, Devin Thomas2008,WAS,2008,319,-6.2,-5.2,0.9,0.3,-2.2,188,24,15,62.5,120,0.64,8,40,2.7,18,0,0,2,2,0,75,0,0,0,0,0,0,0,0,0,16,8.5,1,6.3,1,0,16,1,0,0,100
965, Jabar Gaffney, Jabar Gaffney2008,NE,2008,738,-6.2,-11.6,0,5.6,-0.2,490,59,38,64.4,468,0.96,12.3,109,2.9,37,2,0,8,2,0,100.1,8,4,2,100,6,1,13.6,33.33,50,181,36.9,16,8.8,10,2,122,0.67,0,16.67,62.5
966, Shaun McDonald, Shaun McDonald2008,DET,2008,488,-6.2,-5.9,0,-0.1,-0.2,324,60,35,58.3,339,1.05,9.7,74,2.1,26,1,2,6,6,1,65.9,8,1,2,25,3,0,13.3,66.67,12.5,163,50.3,26,16,15,2,117,0.72,0,11.76,57.7
967, Devard Darling, Devard Darling2008,KC,2008,516,-6.4,-6.6,0,0.8,-0.6,343,33,17,51.5,247,0.72,14.5,113,6.6,68,1,3,0,2,0,48.4,9,3,0,133,3,1,27.3,0,33.3,198,57.6,21,10.6,12,0,200,1.01,1,0,57.1
968, Devin Hester, Devin Hester2008,CHI,2008,650,-6.5,-2.3,1.1,-1.8,-3.5,398,86,51,59.3,665,1.67,13,216,4.2,65,3,3,4,4,1,80.8,20,6,3,179,9,1,23.3,33.33,30,82,20.6,17,20.7,10,1,119,1.45,0,9.09,58.8
969, Marty Booker, Marty Booker2008,CHI,2008,379,-6.6,-6,-0.2,-0.5,0.1,237,43,14,32.6,211,0.89,15.1,101,7.2,51,2,1,3,0,0,55.5,14,2,1,53,3,1,32.6,33.33,14.3,38,16,2,5.3,0,1,0,0,0,100,0
970, Chris Henry, Chris Henry2008,CIN,2008,353,-7.1,-7.6,0,0.5,0,282,43,19,44.2,220,0.78,11.6,23,1.2,22,2,2,4,1,0,56.3,9,2,0,42,2,1,20.9,0,22.2,39,13.8,7,17.9,3,1,33,0.85,0,25,42.9
971, Roy E. Williams, Roy E. Williams2008,DET,2008,276,-7.3,-4.3,0,-0.8,-2.2,179,39,17,43.6,232,1.17,13.6,86,5.1,25,1,2,3,2,0,47.5,9,2,0,66,2,0,21.4,0,22.2,14,7.8,2,14.3,1,1,13,0.93,0,50,50
972, Roy E. Williams, Roy E. Williams2008,DAL,2008,472,-8.6,-7.6,0.3,-1.7,0.4,179,42,19,45.2,198,1.17,10.4,52,2.7,38,1,2,5,2,0,47.5,9,2,0,66,2,0,21.4,0,22.2,14,7.8,2,14.3,1,1,13,0.93,0,50,50
973, Dane Looker, Dane Looker2008,SL,2008,499,-9.4,-7.9,0,-1.8,0.3,300,45,23,51.1,271,0.9,11.8,73,3.2,30,2,0,3,0,2,84.6,7,2,0,45,2,0,15.6,0,28.6,216,72,32,14.8,16,3,207,0.96,1,15.79,50
974, Syndric Steptoe, Syndric Steptoe2008,CLV,2008,514,-10.5,-12.4,0,1.9,0,328,36,19,52.8,182,0.55,9.6,57,3,53,0,2,5,5,1,44,1,1,0,53,1,0,2.8,0,100,239,72.9,27,11.3,13,4,134,0.56,0,23.53,48.1
975, Donte' Stallworth, Donte' Stallworth2008,CLV,2008,503,-12.3,-10.9,-0.2,-1.5,0.3,314,39,17,43.6,170,0.54,10,88,5.2,19,1,1,6,2,0,55.8,5,0,0,0,0,0,13.2,0,0,65,20.7,9,13.8,4,0,56,0.86,0,0,44.4
976, Braylon Edwards, Braylon Edwards2008,CLV,2008,957,-16.9,-13.6,0,4.4,-7.7,521,128,55,43,877,1.68,15.9,230,4.2,70,3,9,19,5,0,45,30,9,3,305,12,1,23.4,25,30,72,13.8,16,22.2,5,5,65,0.9,0,50,31.3
