,Unnamed: 0,Unnamed: 0.1,Atlanta GA,Boise iD,Boston MA,Charlotte NC,Dallas TX,Detroit MI,Los Angeles CA,Nashville TN,Omaha NE,Pittsburgh PN,San Antonio TX,San Diego CA,TeamID,Wichita KS
0,0,0,4792.9344475395965,5474.802361863002,3856.9823237077408,4572.491210325415,5360.978130141554,4360.984118168355,6078.52119039578,4785.731317373948,4914.536399647709,4313.178107116604,5597.655124941356,6119.2350865272065,1437,5140.403921029536
1,1,1,1995.0270117332373,501.2030954855944,2586.9338143806463,2163.0867120808925,1328.090964695639,1975.444532336564,209.88048151512862,1823.6194351340284,1308.4830527061895,2144.142871565293,1327.5681968769786,319.6699927659656,1345,1230.2157693264696
2,2,2,1007.8272781501311,1035.106017829628,1777.1676291476474,1205.8951256274258,300.9762173487994,1188.9169582700533,939.7473580298708,876.3096914637902,621.65480533008,1296.6204879849658,350.49605105874207,886.0151818401791,1403,381.66832201140284
3,3,3,776.1938095771043,1069.186944560882,1424.3799788081003,933.0097684384396,340.2721644904881,821.4915398012881,1196.9821447412562,593.898999750904,257.16128700606356,951.0170301644873,573.687244385724,1170.3719700588806,1455,0.0
4,4,4,381.5471679423584,1866.3819429902953,580.7964099195129,224.02315891883225,978.5639448314512,291.6286945298191,2096.091791125049,363.5674336949145,824.0921145302152,143.15071657693204,1187.3706423812348,2069.578558355041,1452,899.7221918826431
5,5,5,447.9493286470115,2215.7968253284344,1164.6181525538927,515.9808812062064,978.6213294329898,1009.9137377843459,2215.231441246735,657.5139080935184,1240.7590498062605,878.2983886661851,1040.6101422508766,2152.1022185011925,1196,1147.7189900367455
6,6,6,470.62511894594286,1390.790292325161,1251.376009323452,656.1611257374068,300.545988749741,706.225008095941,1467.85781645141,325.8278363013114,458.5834116468287,770.8861730678052,532.5208306574035,1426.0109589794947,1116,321.8080457732
7,7,7,327.3406002310808,1921.7646685347925,611.2159326319543,139.29020480199932,976.3296195794514,380.57190999549795,2125.535000886254,359.944430061575,876.1459214988683,223.49996429311096,1172.560778029888,2094.4262309252513,1439,929.1001802811447
8,8,8,144.83146303272824,1734.2230599769298,1064.1575943610976,368.46320899792,579.4133046163315,659.829891488332,1804.2942050439635,200.15833747480028,745.0526468632852,623.5874081805637,738.0931649082512,1755.8267815362815,1104,666.181684959744
9,9,9,752.2439371038555,1090.1319832404477,1397.0951738020096,906.826772346478,344.90858708620317,794.8317934380605,1224.3868214432016,567.9915407126769,244.8900070866935,923.4897243093491,583.575070386135,1197.9639357420494,1139,27.602885407483743
10,10,10,658.8399323724188,1902.5563744528768,380.8051528074958,489.7096211662573,1190.6678817315235,235.77728880281717,2216.5882903302067,604.0590627859,903.8437069006362,137.58230179007677,1417.6045804859075,2203.3594346586547,1382,1044.7212595750702
11,11,11,768.7343331211387,1818.5813323587226,442.4427973371943,624.3615429549266,1222.3874147400927,222.3301733232521,2175.0333845425366,676.3782580665408,861.1564970633483,261.8599773263047,1460.5153694927237,2169.855527852093,1417,1034.843346064556
12,12,12,297.01076512159653,1545.7180446026666,1001.7153983484756,429.618825222986,550.1954263033599,485.29613382543204,1693.1240280026338,91.26630440822777,520.6979159181712,523.0155863819215,770.22235545309,1658.4059642257748,1293,503.4045807184561
13,13,13,339.87319393038337,1787.4081256702523,658.6505925302524,237.3490370504723,895.491599928007,273.0342881254269,2009.3831569089502,284.7679989098167,743.0006584552498,192.00763544752022,1108.560525026043,1982.5405376553056,1267,812.8203711197747
14,14,14,2140.3964229686844,517.904079231343,2699.3077105438374,2302.3241629614167,1484.2711727993483,2091.4704047516952,348.1069836885158,1963.7095228927367,1429.539725761233,2266.5969793662266,1490.0598141896246,458.9242171255395,1372,1369.8759253003607
15,15,15,1920.8971431999696,678.6615870283701,2586.1619281182843,2104.9098055422633,1222.8263537450762,1972.6412034983366,22.10021211160657,1766.3597282077933,1305.6821555940926,2126.191336253512,1183.6189526287517,91.03223923517344,1168,1183.8287809908456
16,16,16,790.5805437982601,2194.1040316803233,148.32382620178157,573.0753115891873,1421.1896202563132,525.7326352298422,2497.7116238537938,807.505314631145,1189.87603013935,362.4726280107234,1631.0458765967605,2480.270205622853,1254,1313.4610352417812
17,17,17,317.23832617510055,1916.6923036893745,621.4707696408226,132.17030580220353,966.8373600778793,383.3440965404723,2117.8370215518794,350.7397432852315,870.9050220907766,230.46523659015858,1162.5896253048263,2086.3777110811257,1347,921.5994017096493
18,18,18,852.8433596264625,990.3927609211177,1473.9427048391553,1004.8079616665153,392.0658598102918,865.4102932192901,1134.6627231388104,666.7771226061473,249.46746756297145,1005.6714424696095,609.8853235811578,1112.9556021122637,1242,78.87537149680934
19,19,19,348.094621807088,2034.5380055766425,607.7499569283165,121.486626810423,1044.7877322830009,491.5500378545217,2219.8596375434827,440.6444483291586,988.5561846524619,311.9708289601319,1225.1970144543984,2184.8220818262052,1181,1026.7246266126485
20,20,20,681.1442070721641,1571.207729924811,694.9969087689738,614.2486935257623,994.9594405282237,120.42894133204368,1911.527527933071,526.4335029513468,597.5477247097913,326.78479697299906,1241.0220188638568,1906.280386931818,1277,779.4773595971462
21,21,21,97.55482038893113,1824.0375207709524,1033.6067296661688,318.7768515526578,660.5542408199526,681.51980502199,1890.8868208725198,253.47399312712975,828.7907179910515,617.1317522085652,804.3013911143921,1840.8381540293585,1120,756.3089834745903
22,22,22,109.89351131859996,1880.1450552058907,827.7648201976963,119.13485988903587,813.9227046647261,528.7405703848716,2013.6760918909176,244.41302813811592,845.4480584136389,426.7305451314459,986.3571309419698,1972.499454542562,1155,835.62024047501
23,23,23,752.0629919769246,1266.3959561588038,1578.7635916729996,960.7510812861924,31.24152646022411,1023.3181872495315,1209.979665070265,646.5606640843424,591.5585772650602,1098.1418013749264,239.4389324520175,1153.2418680321734,1395,340.4887744686409
24,24,24,891.8049910195831,2246.58233981484,47.81774025841285,674.7433141896244,1513.9933139420127,589.9586820841648,2571.1571528544036,903.0520805900215,1258.5273488477378,446.880870398126,1727.189068379212,2556.92110354326,1348,1394.17302337738
25,25,25,517.8804726512491,2248.281549902055,1250.9049405672688,601.1522724703849,992.2093490209818,1091.0986947958643,2220.728871377315,722.0572928857977,1292.075525060795,963.7315465518576,1032.6511430138871,2153.795415091774,1371,1184.0974534415236
26,26,26,355.7805897700832,2054.4050575985057,609.5219327269981,129.96998072990147,1057.7305457786586,511.41203491031786,2236.6455909799397,456.56871567302,1008.4523493751584,329.50680475023063,1235.3813949063353,2200.9543944230068,1301,1044.325059521218
27,27,27,740.3669377594797,1173.6634042168916,1499.4263715892314,929.7995022445558,152.59615266219055,920.5546638423305,1196.3803734876167,596.7131539951915,440.7596797872703,1018.1118786240448,387.7816550433826,1152.6243097303723,1328,188.76757077675694
28,28,28,1592.9954232155108,735.4937655898854,2300.8402933275365,1783.6107719322506,887.5044273027853,1691.1267540674419,356.55037121597167,1447.4796330021509,1037.1481487922329,1830.6571528298527,848.9351054816814,298.3915431902148,1113,879.899070194137
