#,Name,NameYear,Year,Team,Snaps,Overall,Pass,Pass Block,Run Block,Penalty,# of Pen,TA,Rec.,% Ct,Yds,Yds / Rec.,YAC,YAC / Rec.,LG,TD,In,DP,MT,Fu
36,Kevin Boss,Kevin Boss2012,2012,KC,51,1.8,2.4,-0.4,-0.5,0.3,0-0,3,3,100,65,21.7,7,2.3,29,1,0,0,0,0
37,Coby Fleener,Coby Fleener2012,2012,IND,461,1.7,-2.4,0,2.7,1.4,Jan-00,45,26,57.8,281,10.8,110,4.2,26,2,0,3,2,0
38,Ben Watson,Ben Watson2012,2012,CLV,883,1.7,4,0.5,-2,-0.8,May-00,74,49,66.2,501,10.2,222,4.5,27,3,3,3,7,1
39,Dallas Clark,Dallas Clark2012,2012,TB,586,1.6,3.1,-0.1,-4.3,2.9,0-0,69,47,68.1,435,9.3,112,2.4,33,4,5,3,3,0
40,David Ausberry,David Ausberry2012,2012,OAK,99,1.5,1.4,0.7,0.5,-1.1,Jan-00,11,7,63.6,92,13.1,54,7.7,31,0,0,0,3,0
41,Jim Dray,Jim Dray2012,2012,ARZ,35,1.5,0.3,0.1,1,0.1,0-0,2,2,100,15,7.5,2,1,12,0,0,0,0,0
42,Tommy Gallarda,Tommy Gallarda2012,2012,ATL,85,1.5,-0.7,0.7,2.1,-0.6,Jan-00,3,1,33.3,7,7,1,1,7,0,0,0,0,0
43,Isaiah Stanback,Isaiah Stanback2012,2012,JAX,10,1.4,-0.2,0.1,1.5,0,0-0,1,1,100,6,6,1,1,6,0,0,0,0,0
44,Gary Barnidge,Gary Barnidge2012,2012,CAR,140,1.4,-0.2,0.1,1,0.5,0-0,6,6,100,78,13,46,7.7,24,1,0,0,0,0
45,Jeff Cumberland,Jeff Cumberland2012,2012,NYJ,608,1.2,1,1.8,-4.4,2.8,0-0,52,29,55.8,359,12.4,119,4.1,39,3,5,1,2,0
46,Mike Higgins,Mike Higgins2012,2012,NO,22,1.1,-0.1,0.1,1,0.1,0-0,1,1,100,-3,-3,0,0,0,0,0,0,0,0
47,Tony Scheffler,Tony Scheffler2012,2012,DET,535,0.8,-0.1,-0.3,-0.5,1.7,Jan-00,83,42,50.6,504,12,117,2.8,57,1,6,6,3,0
48,Cory Harkey,Cory Harkey2012,2012,SL,28,0.8,0.2,0,0.5,0.1,0-0,2,1,50,21,21,7,7,21,0,0,0,0,0
49,Ryan Taylor,Ryan Taylor2012,2012,GB,131,0.8,0.1,0.6,-0.4,0.5,0-0,1,1,100,11,11,6,6,11,0,0,0,0,0
50,Charles Clay,Charles Clay2012,2012,MIA,302,0.6,-0.6,1.6,-2,1.6,0-0,27,18,66.7,212,11.8,91,5.1,31,2,1,5,1,0
51,Chase Coffman,Chase Coffman2012,2012,ATL,5,0.5,0.5,0,0,0,0-0,1,1,100,11,11,0,0,11,0,0,0,0,0
52,Allen Reisner,Allen Reisner2012,2012,MIN,7,0.5,0.4,0.1,0,0,0-0,1,1,100,13,13,2,2,13,0,0,0,0,0
53,Todd Heap,Todd Heap2012,2012,ARZ,83,0.4,2.1,-1.2,-0.9,0.4,0-0,12,8,66.7,94,11.8,38,4.8,28,0,0,0,1,0
54,Jake O'Connell,Jake O'Connell2012,2012,KC,23,0.4,0.6,0.2,-0.5,0.1,0-0,3,3,100,18,6,13,4.3,11,0,0,0,1,0
55,Dominique Jones,Dominique Jones2012,2012,IND,33,0.3,-0.1,0.3,0,0.1,0-0,1,1,100,8,8,6,6,8,0,0,0,0,0
56,Travis Beckum,Travis Beckum2012,2012,NYG,23,0.3,-0.3,0.1,0.5,0,0-0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,Jared Cook,Jared Cook2012,2012,TEN,485,0.3,0.5,-1,0.5,0.3,Feb-00,68,44,64.7,523,11.9,168,3.8,61,4,3,5,3,1
58,John Carlson,John Carlson2012,2012,MIN,255,0.2,-2.8,-0.9,2.6,1.3,0-0,14,8,57.1,43,5.4,21,2.6,14,0,0,2,0,0
59,Ladarius Green,Ladarius Green2012,2012,SD,39,0.2,0,0.1,0,0.1,0-0,4,4,100,56,14,43,10.8,31,0,0,0,1,0
60,Hayden Smith,Hayden Smith2012,2012,NYJ,17,0.2,0.2,0,0,0,0-0,1,1,100,16,16,21,21,16,0,0,0,0,0
61,Kellen Winslow,Kellen Winslow2012,2012,NE,4,-0.1,-0.1,0,0,0,0-0,2,1,50,12,12,2,2,12,0,0,1,0,0
62,Garrett Celek,Garrett Celek2012,2012,SF,105,-0.2,-0.4,0.8,0,-0.6,Jan-00,6,4,66.7,51,12.8,22,5.5,35,0,0,1,1,0
63,Michael Palmer,Michael Palmer2012,2012,ATL,159,-0.3,-0.7,1,-1.5,0.9,0-0,6,6,100,22,3.7,16,2.7,6,1,0,0,0,0
64,Richard Gordon,Richard Gordon2012,2012,OAK,79,-0.5,-0.7,1,0,-0.8,Jan-00,5,2,40,9,4.5,6,3,8,1,0,1,0,0
65,Chris Cooley,Chris Cooley2012,2012,WAS,92,-0.6,-0.1,0.1,0,-0.6,Jan-00,3,1,33.3,8,8,6,6,8,0,0,0,0,0
66,Leonard Pope,Leonard Pope2012,2012,PIT,82,-0.6,0.6,1.3,-2.9,0.4,0-0,3,3,100,9,3,7,2.3,7,2,0,0,0,0
67,Lance Kendricks,Lance Kendricks2012,2012,SL,875,-0.6,-0.4,-0.4,-0.9,1.1,Mar-00,57,41,71.9,500,12.2,224,5.5,80,4,2,5,2,0
68,Visanthe Shiancoe,Visanthe Shiancoe2012,2012,NE,57,-0.7,-1.1,0.1,0,0.3,0-0,1,0,0,0,0,0,0,0,0,1,1,0,0
69,James Hanna,James Hanna2012,2012,DAL,109,-0.8,-0.3,0.1,-1,0.4,0-0,11,8,72.7,86,10.8,52,6.5,29,0,0,0,0,0
70,Mike McNeill,Mike McNeill2012,2012,SL,155,-0.9,-1.6,0.5,-0.5,0.7,0-0,7,4,57.1,31,7.8,12,3,10,0,1,0,0,0
71,Brent Celek,Brent Celek2012,2012,PHI,888,-0.9,-1.7,-1.5,-1.1,3.4,Jan-00,83,57,68.7,684,12,337,5.9,34,1,5,8,4,1
72,John Phillips,John Phillips2012,2012,DAL,342,-1,-1.5,-1.1,1.1,0.5,Jan-00,10,8,80,55,6.9,9,1.1,19,1,0,0,0,0
73,Craig Stevens,Craig Stevens2012,2012,TEN,566,-1,-3.9,1.7,2.5,-1.3,1-Apr,31,23,74.2,275,12,135,5.9,46,1,0,3,4,2
74,Owen Daniels,Owen Daniels2012,2012,HST,884,-1.1,2.8,-1.6,-5.6,3.3,Jan-00,98,62,63.3,716,11.5,333,5.4,39,6,1,6,3,0
